,IIT_RR
0,0.175
1,0.1375
2,0.11
3,0.0875
4,0.0725
5,0.0675
6,0.0675
7,0.065
8,0.0625
9,0.0575
10,0.055
11,0.05
12,0.045
13,0.0425
14,0.0375
15,0.0325
16,0.03
17,0.0275
18,0.0249999999999999
19,0.02
20,0.015
21,0.0125
22,0.01
23,0.01
24,0.0075
25,0.0075
26,0.0075
27,0.005
28,0.005
29,0.005
30,0.005
31,0.005
32,0.005
33,0.005
34,0.005
35,0.0075
36,0.0075
37,0.0075
38,0.01
39,0.01
40,0.0125
41,0.0174999999999999
42,0.02
43,0.0249999999999999
44,0.03
45,0.0325
46,0.0375
47,0.0425
48,0.0475
49,0.055
50,0.0625
51,0.07
52,0.075
53,0.08
54,0.0825
55,0.085
56,0.085
57,0.0825
58,0.08
59,0.075
60,0.07
61,0.065
62,0.06
63,0.055
64,0.05
65,0.045
66,0.04
67,0.035
68,0.0325
69,0.0275
70,0.0249999999999999
71,0.02
72,0.0174999999999999
73,0.015
74,0.0125
75,0.01
76,0.0075
77,0.0075
78,0.0075
79,0.005
80,0.005
81,0.005
82,0.005
83,0.005
84,0.005
85,0.005
86,0.005
87,0.005
88,0.0075
89,0.0075
90,0.01
91,0.01
92,0.0125
93,0.015
94,0.02
95,0.0249999999999999
96,0.0275
97,0.0325
98,0.0375
99,0.0425
100,0.0475
101,0.055
102,0.06
103,0.0675
