NoSupp,RIDL,SIT,IIT,EM,LV,AD
0.2075,0.19,0.1925,0.175,0.195,0.195,0.1925
0.21,0.1675,0.175,0.1375,0.1875,0.19,0.175
0.21,0.145,0.16,0.11,0.18,0.185,0.1575
0.2075,0.1275,0.145,0.0875,0.17,0.1775,0.145
0.2,0.11,0.13,0.0725,0.16,0.1675,0.1325
0.1925,0.1025,0.1225,0.0675,0.155,0.1625,0.125
0.185,0.1,0.12,0.0675,0.1475,0.155,0.1175
0.175,0.0975,0.115,0.065,0.1425,0.1475,0.11
0.165,0.0925,0.1075,0.0625,0.135,0.14,0.105
0.155,0.0875,0.1025,0.0575,0.1275,0.13,0.0975
0.145,0.0825,0.095,0.055,0.12,0.1225,0.09
0.1375,0.0775,0.09,0.05,0.1125,0.115,0.085
0.13,0.07,0.0825,0.045,0.105,0.11,0.08
0.1225,0.065,0.0775,0.0425,0.1,0.1025,0.075
0.115,0.06,0.0725,0.0375,0.095,0.0975,0.07
0.11,0.055,0.0675,0.0325,0.09,0.0925,0.0675
0.1025,0.0525,0.0625,0.03,0.085,0.0875,0.065
0.1,0.0475,0.06,0.0275,0.0825,0.085,0.06
0.095,0.045,0.055,0.025,0.0775,0.08,0.06
0.0925,0.0425,0.0525,0.02,0.075,0.0775,0.0575
0.0875,0.0375,0.05,0.015,0.0725,0.075,0.055
0.0875,0.0375,0.0475,0.0125,0.0725,0.0725,0.0525
0.085,0.035,0.045,0.01,0.07,0.0725,0.0525
0.0825,0.0325,0.0425,0.01,0.0675,0.07,0.0525
0.0825,0.0325,0.0425,0.0075,0.0675,0.07,0.05
0.0825,0.03,0.0425,0.0075,0.0675,0.07,0.05
0.0825,0.03,0.04,0.0075,0.0675,0.0675,0.05
0.0825,0.03,0.04,0.005,0.0675,0.07,0.05
0.0825,0.0275,0.04,0.005,0.0675,0.07,0.0525
0.0825,0.0275,0.04,0.005,0.0675,0.07,0.0525
0.085,0.0275,0.04,0.005,0.07,0.0725,0.0525
0.0875,0.0275,0.04,0.005,0.07,0.0725,0.055
0.09,0.03,0.0425,0.005,0.0725,0.075,0.0575
0.0925,0.03,0.0425,0.005,0.075,0.0775,0.0575
0.095,0.03,0.045,0.005,0.0775,0.08,0.06
0.1,0.0325,0.045,0.0075,0.08,0.085,0.0625
0.105,0.0325,0.0475,0.0075,0.085,0.0875,0.065
0.11,0.035,0.05,0.0075,0.0875,0.0925,0.07
0.1175,0.0375,0.055,0.01,0.0925,0.0975,0.0725
0.1225,0.04,0.0575,0.01,0.0975,0.1025,0.0775
0.13,0.0425,0.0625,0.0125,0.105,0.1075,0.0825
0.14,0.0475,0.0675,0.0175,0.11,0.115,0.0875
