time,perc,set
139.5388235,1.931818182,1
161.6752941,18.40909091,1
183.3505882,24.31818182,1
205.0258824,41.47727273,1
227.1623529,57.27272727,1
248.8376471,66.36363636,1
270.9741176,73.63636364,1
292.6494118,80.34090909,1
314.3247059,85.68181818,1
336,88.97727273,1
379.8117647,92.95454545,1
401.4870588,100,1
445.2988235,95.68181818,1
488.6494118,94.09090909,1
510.7858824,96.13636364,1
532.4611765,85,1
554.1364706,91.59090909,1
575.8117647,87.15909091,1
597.4870588,91.47727273,1
619.6235294,96.81818182,1
641.2988235,97.84090909,1
662.9741176,99.77272727,1
684.1882353,99.31818182,1
706.3247059,90.56818182,1
728.4611765,93.97727273,1
749.6752941,94.65909091,1
771.8117647,97.95454545,1
793.4870588,96.02272727,1
815.1623529,98.86363636,1
837.2988235,96.70454545,1
858.9741176,99.09090909,1
880.6494118,94.54545455,1
902.3247059,93.06818182,1
924,93.29545455,1
183.3505882,5.568181818,2
205.4870588,22.84090909,2
227.6235294,29.77272727,2
248.8376471,28.40909091,2
270.5129412,39.65909091,2
292.6494118,63.75,2
314.3247059,65.22727273,2
336,70.34090909,2
358.1364706,81.02272727,2
379.8117647,80.11363636,2
401.4870588,90.56818182,2
423.1623529,86.93181818,2
444.8376471,92.38636364,2
488.6494118,96.36363636,2
510.3247059,89.20454545,2
532,88.06818182,2
555.0588235,96.47727273,2
575.8117647,97.15909091,2
597.4870588,96.47727273,2
619.1623529,98.29545455,2
641.2988235,97.95454545,2
662.9741176,96.36363636,2
684.1882353,99.54545455,2
706.3247059,94.54545455,2
728,100.1136364,2
749.6752941,97.95454545,2
771.3505882,98.29545455,2
793.4870588,97.15909091,2
815.1623529,96.25,2
836.8376471,95.68181818,2
858.9741176,92.27272727,2
880.1882353,97.27272727,2
902.3247059,89.88636364,2
924,97.27272727,2
140,8.636363636,3
161.6752941,28.06818182,3
183.3505882,34.54545455,3
205.4870588,38.29545455,3
227.1623529,46.13636364,3
248.8376471,51.36363636,3
270.9741176,69.43181818,3
293.1105882,77.38636364,3
314.3247059,81.70454545,3
336,78.06818182,3
358.1364706,91.13636364,3
379.8117647,90.11363636,3
401.4870588,96.47727273,3
423.6235294,90.56818182,3
444.8376471,92.95454545,3
488.6494118,87.84090909,3
510.3247059,97.04545455,3
532,90.56818182,3
554.1364706,85.79545455,3
575.8117647,95.11363636,3
597.4870588,99.20454545,3
619.6235294,97.5,3
641.2988235,98.52272727,3
663.4352941,100.2272727,3
683.7270588,97.95454545,3
706.3247059,96.47727273,3
728,100.1136364,3
749.6752941,98.06818182,3
771.8117647,98.18181818,3
793.0258824,97.61363636,3
815.1623529,100.1136364,3
836.8376471,100.1136364,3
858.9741176,92.27272727,3
880.6494118,97.95454545,3
902.3247059,100.1136364,3
924.4611765,97.5,3
161.6752941,23.29545455,4
183.3505882,45.34090909,4
205.4870588,39.54545455,4
227.1623529,37.61363636,4
248.8376471,54.09090909,4
270.5129412,66.59090909,4
292.6494118,77.84090909,4
314.3247059,80.79545455,4
336,84.31818182,4
357.6752941,86.02272727,4
379.3505882,81.13636364,4
401.4870588,88.29545455,4
423.1623529,82.15909091,4
445.2988235,89.09090909,4
488.6494118,97.27272727,4
510.3247059,84.20454545,4
532,83.06818182,4
554.1364706,88.75,4
575.8117647,94.43181818,4
597.4870588,93.52272727,4
619.1623529,92.95454545,4
641.2988235,91.25,4
662.9741176,93.52272727,4
684.1882353,100.1136364,4
706.3247059,96.81818182,4
728,100.1136364,4
749.6752941,89.54545455,4
771.3505882,94.77272727,4
793.4870588,100.1136364,4
815.1623529,100.1136364,4
837.2988235,72.15909091,4
858.9741176,87.95454545,4
880.6494118,97.5,4
902.3247059,90.68181818,4
924.4611765,95.56818182,4
161.6752941,20.34090909,5
183.3505882,35.79545455,5
205.0258824,37.84090909,5
227.1623529,35.79545455,5
248.8376471,58.97727273,5
270.5129412,77.04545455,5
292.6494118,82.04545455,5
314.3247059,83.40909091,5
336,84.54545455,5
358.1364706,88.52272727,5
379.8117647,92.04545455,5
401.4870588,94.09090909,5
423.1623529,96.25,5
445.2988235,92.72727273,5
488.6494118,84.09090909,5
510.3247059,83.06818182,5
532,91.02272727,5
554.1364706,93.86363636,5
575.8117647,80.34090909,5
597.4870588,88.40909091,5
619.6235294,92.84090909,5
641.2988235,94.20454545,5
662.9741176,89.20454545,5
684.1882353,94.09090909,5
706.3247059,98.75,5
728,97.38636364,5
749.6752941,94.65909091,5
771.3505882,100,5
793.4870588,97.61363636,5
815.1623529,97.04545455,5
836.8376471,96.02272727,5
858.9741176,98.75,5
880.6494118,96.70454545,5
902.3247059,90.22727273,5
924.4611765,87.15909091,5
161.6752941,13.40909091,6
183.3505882,11.93181818,6
184.2729412,12.27272727,6
205.4870588,29.31818182,6
227.1623529,25,6
248.8376471,42.38636364,6
270.5129412,56.81818182,6
292.6494118,59.65909091,6
314.3247059,67.5,6
336,78.52272727,6
358.1364706,80.68181818,6
379.3505882,89.43181818,6
401.4870588,96.47727273,6
423.1623529,91.59090909,6
444.8376471,91.13636364,6
488.6494118,90.90909091,6
510.3247059,65,6
532,85.11363636,6
554.1364706,93.97727273,6
575.8117647,89.09090909,6
597.4870588,93.63636364,6
619.6235294,92.72727273,6
641.2988235,96.70454545,6
663.4352941,98.52272727,6
684.1882353,98.06818182,6
705.8635294,96.36363636,6
728,90,6
749.6752941,97.84090909,6
771.3505882,98.06818182,6
793.4870588,100,6
815.1623529,98.75,6
836.8376471,94.43181818,6
858.9741176,87.84090909,6
880.6494118,98.18181818,6
902.3247059,94.88636364,6
924,96.25,6
161.6752941,12.38636364,7
183.8117647,17.84090909,7
205.4870588,27.27272727,7
227.1623529,33.06818182,7
248.8376471,44.20454545,7
270.5129412,63.06818182,7
292.6494118,65.34090909,7
314.3247059,75.90909091,7
336.4611765,85.34090909,7
358.1364706,91.02272727,7
379.8117647,92.27272727,7
401.4870588,100.1136364,7
423.1623529,96.13636364,7
445.2988235,95.56818182,7
488.6494118,93.97727273,7
510.3247059,85.56818182,7
532.4611765,86.59090909,7
554.1364706,97.72727273,7
576.2729412,96.02272727,7
597.4870588,97.5,7
619.6235294,96.70454545,7
641.2988235,98.29545455,7
662.9741176,99.09090909,7
684.1882353,98.75,7
705.8635294,97.61363636,7
728,95.45454545,7
749.6752941,100,7
771.3505882,95.68181818,7
793.4870588,100,7
815.1623529,96.02272727,7
836.8376471,96.02272727,7
858.9741176,100.1136364,7
880.1882353,96.13636364,7
902.3247059,96.13636364,7
924.4611765,91.59090909,7
183.3505882,20.22727273,8
205.0258824,24.65909091,8
227.1623529,30.11363636,8
248.8376471,37.72727273,8
270.5129412,59.09090909,8
292.1882353,62.15909091,8
314.7858824,73.40909091,8
336,74.54545455,8
357.6752941,85.11363636,8
379.8117647,87.84090909,8
401.4870588,87.5,8
423.6235294,93.63636364,8
445.2988235,93.40909091,8
488.6494118,98.63636364,8
510.3247059,89.77272727,8
532.4611765,86.59090909,8
554.1364706,95.11363636,8
575.8117647,97.04545455,8
597.4870588,95.79545455,8
619.6235294,95.79545455,8
640.8376471,97.38636364,8
662.9741176,98.40909091,8
684.1882353,96.70454545,8
705.8635294,100.1136364,8
728.4611765,97.84090909,8
749.6752941,100,8
771.3505882,98.18181818,8
793.0258824,97.72727273,8
815.1623529,97.95454545,8
836.8376471,95.56818182,8
858.9741176,95.68181818,8
880.6494118,93.97727273,8
902.3247059,90.56818182,8
924.4611765,98.97727273,8
183.3505882,17.95454545,9
205.4870588,33.97727273,9
227.1623529,32.5,9
248.8376471,59.65909091,9
270.5129412,75.11363636,9
292.6494118,77.95454545,9
314.7858824,73.86363636,9
336,87.72727273,9
357.6752941,82.61363636,9
379.8117647,89.77272727,9
401.4870588,94.09090909,9
423.1623529,98.29545455,9
444.8376471,90.22727273,9
488.6494118,92.72727273,9
510.3247059,94.31818182,9
532,85.11363636,9
554.5976471,96.70454545,9
575.8117647,97.95454545,9
597.4870588,92.04545455,9
619.6235294,97.27272727,9
641.2988235,92.61363636,9
663.4352941,94.54545455,9
