,RIDL_RR
0,0.19
1,0.1675
2,0.145
3,0.1275
4,0.11
5,0.1025
6,0.1
7,0.0975
8,0.0925
9,0.0875
10,0.0825
11,0.0775
12,0.07
13,0.065
14,0.06
15,0.055
16,0.0525
17,0.0475
18,0.045
19,0.0425
20,0.0375
21,0.0375
22,0.035
23,0.0325
24,0.0325
25,0.03
26,0.03
27,0.03
28,0.0275
29,0.0275
30,0.0275
31,0.0275
32,0.03
33,0.03
34,0.03
35,0.0325
36,0.0325
37,0.035
38,0.0375
39,0.04
40,0.0425
41,0.0475
42,0.0525
43,0.0575
44,0.0625
45,0.0675
46,0.075
47,0.0825
48,0.0925
49,0.1
50,0.1075
51,0.1125
52,0.1175
53,0.1225
54,0.125
55,0.125
56,0.1225
57,0.1175
58,0.1125
59,0.1075
60,0.1
61,0.095
62,0.0875
63,0.08
64,0.075
65,0.0675
66,0.0625
67,0.0575
68,0.0525
69,0.05
70,0.045
71,0.0425
72,0.04
73,0.0375
74,0.035
75,0.0325
76,0.0325
77,0.03
78,0.03
79,0.03
80,0.0275
81,0.0275
82,0.0275
83,0.0275
84,0.03
85,0.03
86,0.03
87,0.0325
88,0.0325
89,0.035
90,0.0375
91,0.04
92,0.0425
93,0.0475
94,0.05
95,0.055
96,0.0625
97,0.0675
98,0.075
99,0.0825
100,0.09
101,0.0975
102,0.105
103,0.1125
