,SIT_RR
0,0.19
1,0.17
2,0.1525
3,0.1375
4,0.1225
5,0.115
6,0.1125
7,0.1075
8,0.1025
9,0.0975
10,0.09
11,0.085
12,0.0775
13,0.0725
14,0.0675
15,0.0625
16,0.06
17,0.055
18,0.0525
19,0.05
20,0.045
21,0.045
22,0.0425
23,0.04
24,0.04
25,0.0375
26,0.0375
27,0.0375
28,0.0375
29,0.0375
30,0.0375
31,0.0375
32,0.0375
33,0.04
34,0.04
35,0.0425
36,0.045
37,0.0475
38,0.05
39,0.0525
40,0.0575
41,0.06
42,0.0675
43,0.0725
44,0.0775
45,0.085
46,0.0925
47,0.1025
48,0.11
49,0.1175
50,0.125
51,0.1325
52,0.1375
53,0.14
54,0.14
55,0.1375
56,0.135
57,0.13
58,0.125
59,0.1175
60,0.11
61,0.1025
62,0.095
63,0.0875
64,0.0825
65,0.075
66,0.07
67,0.065
68,0.06
69,0.0575
70,0.0525
71,0.05
72,0.0475
73,0.045
74,0.0425
75,0.04
76,0.04
77,0.0375
78,0.0375
79,0.0375
80,0.0375
81,0.0375
82,0.0375
83,0.0375
84,0.0375
85,0.04
86,0.04
87,0.0425
88,0.045
89,0.045
90,0.05
91,0.0525
92,0.055
93,0.06
94,0.065
95,0.07
96,0.0775
97,0.085
98,0.0925
99,0.1
100,0.11
101,0.1175
102,0.125
103,0.13
