egg RR,adult RR
0.00047,0.0025
0.00134,0.005
0.00258,0.0075
0.00418,0.01
0.00612,0.0125
0.00842,0.015
0.01108,0.0175
0.01408,0.02
0.01745,0.0225
0.02115,0.025
0.0252,0.0275
0.0296,0.03
0.03437,0.0325
0.03945,0.035
0.04495,0.0375
0.0507,0.04
0.0569,0.0425
0.0634,0.045
0.0703,0.0475
0.0775,0.05
0.085,0.0525
0.093,0.055
0.10125,0.0575
0.1098,0.06
0.1188,0.0625
0.1281,0.065
0.1378,0.0675
0.1478,0.07
0.1582,0.0725
0.169,0.075
0.18,0.0775
0.1915,0.08
0.203,0.0825
0.215,0.085
0.2277,0.0875
0.2405,0.09
0.2538,0.0925
0.2672,0.095
0.2811,0.0975
0.2953,0.1
0.30985,0.1025
0.32478,0.105
0.3400445,0.1075
0.3555,0.11
0.37163,0.1125
0.38793,0.115
0.4046,0.1175
0.42163,0.12
0.439,0.1225
0.456722,0.125
0.47479,0.1275
0.49323,0.13
0.51198,0.1325
0.5311,0.135
0.55057,0.1375
0.5702,0.14
0.59056,0.1425
0.61108,0.145
0.6319505,0.1475
0.6531,0.15
0.674725,0.1525
0.69663,0.155
0.71888,0.1575
0.7415,0.16
0.76444,0.1625
0.787748,0.165
0.81139,0.1675
0.8354,0.17
0.85976,0.1725
0.884461,0.175
0.90952,0.1775
0.9349,0.18
0.9606668,0.1825
0.986768,0.185
1.0132,0.1875
1.04096,0.19
1.067,0.1925
1.09466,0.195
1.1225,0.1975
1.1508,0.2
1.17927,0.2025
1.2081673,0.205
1.2374,0.2075
1.26696,0.21
1.29697,0.2125
1.32725,0.215
1.35791,0.2175
1.3889,0.22
1.42025,0.2225
1.451945,0.225
1.48398,0.2275
1.51639,0.23
1.54913,0.2325
1.582227,0.235
1.61567,0.2375
1.64946,0.24
1.6837,0.2425
1.718103,0.245
1.75294,0.2475
1.7888,0.25
1.8237,0.2525
1.8595732,0.255
1.89583,0.2575
1.9324,0.26
1.9695,0.2625
2.006639,0.265
2.044275,0.2675
2.08227,0.27
2.1206,0.2725
2.159299,0.275
2.1983,0.2775
2.2378,0.28
2.277466,0.2825
2.317553,0.285
2.35799,0.2875
2.39878,0.29
2.43993,0.2925
2.45043,0.295
2.5232,0.2975
2.5654,0.3
2.60795,0.3025
2.65084,0.305
2.69408,0.3075
2.73767,0.31
2.7816,0.3125
2.8259,0.315
2.8705,0.3175
2.9155,0.32
2.9608,0.3225
3.0066,0.325
3.0525,0.3275
3.098935,0.33
3.14568,0.3325
3.1925,0.335
3.2402,0.3375
3.28796,0.34
3.3361,0.3425
3.3846,0.345
3.4335,0.3475
3.4825,0.35
3.53213,0.3525
3.58199,0.355
3.63221,0.3575
3.6828,0.36
3.73373,0.3625
3.740146,0.365
3.83663,0.3675
3.88861,0.37
3.940935,0.3725
3.993611,0.375
4.046635,0.3775
4.10002,0.38
4.1537385,0.3825
4.207813,0.385
4.262235,0.3875
4.317013,0.39
4.37215,0.3925
4.42761,0.395
4.483433,0.3975
4.5395,0.4
