,nosupp_RR
0,0.2075
1,0.21
2,0.21
3,0.2075
4,0.2
5,0.1925
6,0.185
7,0.175
8,0.165
9,0.155
10,0.145
11,0.1375
12,0.13
13,0.1225
14,0.115
15,0.11
16,0.1025
17,0.1
18,0.095
19,0.0925
20,0.0875
21,0.0875
22,0.085
23,0.0825
24,0.0825
25,0.0825
26,0.0825
27,0.0825
28,0.0825
29,0.0825
30,0.085
31,0.0875
32,0.09
33,0.0925
34,0.095
35,0.1
36,0.105
37,0.11
38,0.1175
39,0.1225
40,0.13
41,0.14
42,0.15
43,0.16
44,0.17
45,0.1825
46,0.195
47,0.205
48,0.215
49,0.225
50,0.2325
51,0.2375
52,0.2375
53,0.235
54,0.23
55,0.2225
56,0.215
57,0.205
58,0.1925
59,0.1825
60,0.17
61,0.16
62,0.15
63,0.14
64,0.1325
65,0.125
66,0.1175
67,0.11
68,0.105
69,0.1
70,0.095
71,0.0925
72,0.09
73,0.0875
74,0.085
75,0.0825
76,0.0825
77,0.0825
78,0.0825
79,0.0825
80,0.0825
81,0.0825
82,0.085
83,0.0875
84,0.09
85,0.0925
86,0.095
87,0.1
88,0.105
89,0.11
90,0.115
91,0.1225
92,0.13
93,0.1375
94,0.1475
95,0.1575
96,0.17
97,0.18
98,0.1925
99,0.2025
100,0.215
101,0.225
102,0.23
103,0.235
