Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.88558572,70.63928959,73.31833761,77.20166069,82.06779536,84.83400312,87.61673873,90.86345431,96.83240842,98.96260328,100,105.6290576,110.4113871,112.7279411,115.1752236,119.0137774,122.5190838,129.8087328,136.393772,138.7493924,137.8099839,142.0921544,143.2133838,147.9203575,150.8839129,151.5476875,149.4692337,151.8817441,151.8817441,151.8817441,151.8817441
Africa Eastern and Southern,AFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.31944307,45.01877021,50.09303031,55.55956927,59.55972008,72.97718861,74.50700121,72.89511344,75.67579254,88.23293919,94.67549354,99.24148949,99.8041337,102.2469027,100,102.4036562,104.5247929,111.3413562,120.0501064
Africa Western and Central,AFW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.29E-08,1.71E-07,9.86E-07,1.00E-05,0.000228303,0.004395968,0.215425788,0.421056214,0.586781196,3.858092895,19.98565391,41.24082164,100.000002,193.9268583,258.7763461,368.4342735,431.503212,450.0941634,537.2770455,447.2235991,591.513327,779.4462746,836.0003277,859.7409736,890.354809,859.0286866,1046.075655,1282.640554,1655.452274,2120.480028,2319.491774
Albania,ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.119199824,4.226960153,14.07512885,31.76064284,43.14444338,47.38938257,54.30870662,60.41281217,64.47911392,65.83501296,69.55302653,72.20359317,74.8372021,78.72771531,81.20950334,83.89495394,85.97402936,89.74546017,93.44035744,95.70005929,100,102.3147438,103.3815946,103.6801048,105.2870604,105.8808703,105.2110114,106.7376891,108.3099973,109.6324726,109.1417039
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.29828395,46.30108418,49.40824297,51.65000965,53.65395685,56.30077149,56.7495887,58.01406051,58.88401258,60.49271175,77.8792565,80.27835439,82.87899719,85.51246424,88.11411598,91.10656134,94.25628289,97.28306641,99.49561247,99.62708212,100,100.1967642,100.3716645,100.8218236,100.7371138,101.4025721,101.7552455,102.9117034,103.9536622,105.3827689,106.4978193
Arab World,ARB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.2993652,40.62613209,41.36017566,41.88877372,41.77882619,43.41132537,45.91748024,45.48020775,43.54527718,47.2219693,52.63338777,51.39686756,53.33496097,55.50697754,60.22585997,70.17897044,78.57388365,88.42230333,104.809921,88.89665179,99.99996054,113.1672106,115.7004023,114.6973988,113.5218666,95.99194943,92.92666305,98.03310702,106.0782305,101.3640746,92.88663488
Argentina,ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.37371925,51.40430321,59.66599949,57.54123623,59.18078152,61.05392628,61.02194898,60.73886015,59.70309274,58.60661058,59.21452939,58.5656757,76.46053741,84.48560835,99.9999999,110.3175111,125.4762982,144.2223631,177.6403647,204.9572772,247.8243464,306.5673214,374.9774534,464.7800478,652.0072626,825.3107382,1164.673397,1467.562778,2084.433257,3145.857912,4400.778931
