"","Name","Name.1","GAUL","Country_burden_PY","Pop_density_release_area_median","Num_people_covered","Perc_national_pop_covered","Averted_med_costs_PY","Averted_VC_costs_PY","National_routine_VC_cost_PY","Wol_Imp_cost_TPPmin","Wol_Imp_cost_TPPpreferred","National_Wol_target_min_PP","Wol_Imp_cost_TPP_National_min"
"1","Puerto Rico","Puerto Rico",200,146083.623871606,1422.89537828947,1351750.609375,35.4411311059187,52737549.2755732,416305.090128748,4757772.45861426,3149578.91984375,324420.14625,163.013610435539,220353747.242659
"2","Singapore","Singapore",222,149386.665967671,12460.542,1557567.75,40.115307558601,32594045.4188224,1381682.14832103,15790653.1236689,3629132.8575,373816.26,98.7824083129024,153860293.455509
"9","Brunei Darussalam","Brunei Darussalam",40,12683.9038999558,448.36225,112090.5625,32.1875469549542,1790175.9071001,53005.4462530039,605776.528605759,261171.010625,26901.735,74.8198902406059,8386603.58325778
"6","United States of America","United States of America",259,172252.552112659,2439.46855594758,1890588.13085938,29.4659942141351,29311396.3744868,1755646.62243517,20064532.8278305,4405070.34490234,453741.15140625,68.0789496114832,128709254.096844
"3","Malaysia","Malaysia",153,859708.708359224,3092.2655953125,7730663.98828125,29.853473281164,69739486.7708859,1609386.86089194,18392992.6959079,18012447.0926953,1855359.3571875,37.532969888687,290154778.691717
"15","Guadeloupe","Guadeloupe",100,13482.6488070044,633.203149414063,126640.629882812,33.5177788699593,757615.127950136,10741.4574418268,122759.513620877,295072.667626953,30393.751171875,27.2146892710587,3446485.3913519
"11","Saudi Arabia","Saudi Arabia",215,181645.124342053,1199.20188199627,2008663.15234375,20.2133498155374,10571968.8778636,739390.688574305,8450179.29799206,4680185.14496094,482079.1565625,24.9175650150744,50050994.6919096
"19","Trinidad and Tobago","Trinidad and Tobago",246,42902.1746302189,821.422322048611,369640.044921875,31.7484703808733,1758483.51874943,109886.434344326,1255844.96393515,861261.304667969,88713.61078125,20.3219264485855,7511797.80535419
"14","Oman","Oman",187,49689.5503815542,548.798351469494,576238.269042969,21.2565616705274,2560108.56044864,146089.614844685,1669595.59822498,1342635.16687012,138297.184570312,19.2660831860139,11101854.4263465
"36","Martinique","Martinique",158,13007.4959519748,376.635685221354,112990.705566406,33.3075132192005,429666.718396051,9583.69250284541,109527.914318233,263268.343969727,27117.7693359375,17.5488720951665,1982859.43992748
"5","Thailand","Thailand",240,1821753.62097384,947.07168199084,17165674.236084,26.096994602556,91611631.0619546,2632958.59039392,30090955.3187877,39996020.9700757,4119761.81666016,16.3827267241686,281220550.045866
"7","Indonesia","Indonesia",1013696,6622707.26432405,6934.59624506106,60330987.3320312,27.6031506777716,220070291.248242,5885664.68095872,67264739.2109568,140571200.483633,14479436.9596875,14.4054099286401,869092603.917504
"4","Mexico","Mexico",1006344,1667100.63535248,1151.7439078996,17045809.8369141,15.941846127469,139396038.042182,1752684.42505493,20030679.1434849,39716736.9200098,4090994.36085937,14.2802415893589,243418282.557404
"35","Suriname","Suriname",233,17303.0014909799,1806.8503515625,180685.03515625,35.115699979893,524014.535291051,21378.3754420678,244324.290766489,420996.131914063,43364.4084375,13.6489168393195,2466155.01895718
"13","Costa Rica","Costa Rica",61,119801.66206596,3327.02784855769,1081284.05078125,23.9861037160415,3050045.43110527,265040.884436791,3029038.67927761,2519391.83832031,259508.1721875,12.8379880537797,13881511.7266722
"28","Samoa","Samoa",212,13638.1532533669,1923.87197916667,144290.3984375,33.8105921048061,387461.358025151,14654.6892358237,167482.162695128,336196.628359375,34629.695625,12.8332478420094,1851714.44437072
"10","Philippines","Philippines",196,2606848.40030852,8163.87133351293,23675226.8671875,27.670533943836,69974305.4167418,2030988.61139983,23211298.4159981,55163278.6005469,5682054.448125,12.5273760185142,296588469.288887
"8","China","China",53,7099670.31552161,3746.23847889073,70710251.2890625,22.9996349522932,257035894.211392,15341402.4254392,175330313.433591,164754885.503516,16970460.309375,12.1120703791237,856447540.138651
"21","Argentina","Argentina",12,754968.370048783,6527.585021875,8159481.27734375,24.9420864751028,25482424.6609246,4718182.84067689,53922089.6077358,19011591.3762109,1958275.5065625,11.8658267927284,96818991.5554709
"18","Panama","Panama",191,106858.647664912,1630.15611922554,937339.768554688,28.318509341384,2495213.30062461,235367.590429803,2689915.31919775,2184001.66073242,224961.544453125,11.8613681477969,11118132.0743979
"29","Mauritius","Mauritius",160,43775.6761297129,2312.86102678571,404750.6796875,34.4423292640123,951696.547166097,75341.0324058191,861040.370352218,943069.083671875,97140.163125,11.4483944688684,4633745.44260509
"37","Fiji","Fiji",83,18780.2051482593,211.595322823661,185145.907470703,25.1332704037855,481895.034830569,22411.0713061347,256126.529212968,431389.964406738,44435.0177929687,10.9975900327593,2036158.78660598
"17","Gabon","Gabon",89,37632.7359382455,6023.998125,451799.859375,34.0687614647158,1001575.04154354,70090.9450304813,801039.371776929,1052693.67234375,108431.96625,10.750087239639,4856887.90313786
"24","Equatorial Guinea","Equatorial Guinea",76,14055.6536791268,146.64235748291,175970.828979492,27.4212664844101,498233.302627269,28132.4949742165,321514.22827676,410012.031522217,42232.9989550781,9.1902045362903,1617207.91074209
"25","Cuba","Cuba",63,325671.422276332,1460.47631151221,3176535.97753906,29.9771041606127,5580482.84852994,1454237.79996571,16619860.5710367,7401328.82766602,762368.634609375,9.0185326902356,28647693.5551455
"16","Colombia","Colombia",57,865253.880209956,2775.79390407986,8743750.79785156,19.5012738123726,19881154.1355438,741631.079725134,8475783.76828725,20372939.3589941,2098500.19148437,8.45732700473084,73948759.7453068
"34","Dominican Republic","Dominican Republic",72,278118.901857604,3084.24757352941,2621610.4375,27.1537174235967,4353121.59868622,425014.926467417,4857313.44534191,6108352.319375,629186.505,7.89952775662535,20709484.41809
"32","Paraguay","Paraguay",194,154791.319048078,3882.18276041667,1455818.53515625,23.061200019219,2400752.21256146,174630.649668346,1995778.85335253,3392057.18691406,349396.4484375,7.6807456705237,11181771.9109695
"31","Ecuador","Ecuador",73,247363.274166551,2424.27990953947,2303065.9140625,17.2519971765224,4075104.61228821,302639.640836195,3458738.75241365,5366143.57976563,552735.819375,7.53996458312219,17365035.4246272
"26","Sri Lanka","Sri Lanka",231,538237.214010935,1991.25786904762,5227051.90625,27.2559597437297,10847691.2428161,336014.39299357,3840164.49135508,12179030.9415625,1254492.4575,7.4493216142722,38937990.7441509
"22","Venezuela","Venezuela",263,725293.663541005,2836.12515266628,7728441.04101562,27.8931631640931,12812142.1250106,2372818.65600368,27117927.4971849,18007267.6255664,1854825.84984375,7.1326188120994,55124023.9573492
"44","Jamaica","Jamaica",123,61520.5160832735,1000.6032390625,625377.024414062,24.7274312691698,926236.595463716,70921.3949434061,810530.227924641,1457128.46688477,150090.485859375,6.52170537725775,4078524.70293464
"20","Peru","Peru",1011442,356201.881039934,12107.5299553571,4237635.484375,14.8541362256602,6045387.05026465,598664.639373567,6841881.59284077,9873690.67859375,1017032.51625,6.31627066372197,26766052.693505
"40","Kashmir","Kashmir",1012936,111579.120345056,848.92921875,1124831.21484375,10.2407868811163,1763553.82736439,62590.2209146126,715316.810452715,2620856.73058594,269959.4915625,5.97881153067993,6725153.83737653
"23","Brazil","Brazil",37,4864969.34037908,4754.49335083878,50041042.5175781,26.8233193794252,66488905.5866941,8620918.03623352,98524777.5569545,116595629.065957,12009850.2042187,5.12651337308729,256536073.669594
"42","Angola","Angola",8,304699.263413118,5361.01875,3082585.78125,17.0110952060981,3578944.64414901,160577.333374043,1835169.52427478,7182424.8703125,739820.5875,4.58414857028063,14131031.2018846
"12","India","India",115,32400450.0731846,1962.63408862074,307005037.3125,26.4995891292529,507027171.440682,17083019.082074,195234503.795131,715321736.938125,73681208.955,4.50948385475353,1384434259.08872
"38","Congo","Congo",59,100901.516996008,4180.92479166667,940708.078125,27.0180466351811,946520.809753125,50552.5789408883,577743.759324438,2191849.82203125,225769.93875,4.42838463893167,4165817.20288769
"58","Arunachal Pradesh","Arunachal Pradesh",15,14598.620947483,241.550003069196,211356.252685547,21.7138500651593,230358.72425893,11760.7285188211,134408.325929384,492460.068757324,50725.5006445312,4.04059536317569,854005.09457941
"43","Honduras","Honduras",111,193013.622461255,2718.79994891827,1767219.96679688,24.0816271356673,1439757.26858312,116892.416368452,1335913.32992517,4117622.52263672,424132.79203125,3.6935781371965,6527365.03297806
"46","El Salvador","El Salvador",75,207500.343621188,3333.89460227273,1833642.03125,30.7803660853705,1356483.6801941,176235.685292416,2014122.11762761,4272385.9328125,440074.0875,3.51409130280104,6443585.51446605
"57","Zambia","Zambia",270,271453.924479662,1598.06315272177,2476997.88671875,19.0979513876967,2088487.75164747,80247.9539149627,917119.473313859,5771405.07605469,594479.4928125,3.45655667689106,8561883.58398274
