"","GAUL_CODE","NAME","PARENT_ID","Area_covered_KM2","Area_total_KM2","Cost_target","Population_covered","Burden_covered"
"1",5786,"Munshiganj",577,84.313700068742,997.905432715197,2.16054344280589,345667.988912357,29900.6786342435
"2",5814,"Nilphamari",579,56.1992906033993,1805.12041089387,2.41417761771519,135375.787761734,13348.4419105248
"7",5797,"Jessore",578,43.1877229362726,2683.63851059876,2.48147965575127,135429.753120707,13591.6862971581
"9",5812,"Natore",579,0.00368175897165202,2060.57086728615,3.01600232568479,4.98921428744313,0.583212930944596
"10",5815,"Pabna",579,146.311214566231,2591.21498736081,2.61219021324069,325612.952729782,34070.8412366173
"14",5800,"Kushtia",578,28.0061673372984,1851.04805966002,2.74456947402772,39730.102650853,4574.56121328616
"15",5806,"Dinajpur",579,15.022368170321,3744.82203069492,2.73400123209003,32798.4947588374,3439.68699630097
"16",5789,"Narsingdi",577,117.986363265663,1249.79807509226,2.22283961162063,432243.331072403,39478.9771807487
"17",5788,"Narayanganj",577,330.090658494737,835.957506671548,2.14608172069886,2184415.07358236,205527.188872288
"21",5794,"Tangail",577,0.57036904618144,3714.86623973342,2.65223769348664,1518.48085658564,153.955463988216
"22",5773,"Feni",576,74.8232245445251,947.345036932529,2.55489995830376,170260.297344806,16620.3607929228
"24",5780,"Gazipur",577,76.8762167543173,1803.00129578391,2.14608170690246,315365.978605006,29375.357671845
"25",5770,"Chittagong",576,572.139629721642,4747.63378749776,2.14608177573586,3685255.72817741,338760.082090813
"27",5771,"Comilla",576,50.1767752924934,3277.7109953633,2.11993961508146,185344.272624117,14711.048451406
"28",5793,"Sherpur",577,20.0846314430237,1411.91884899017,2.63555121648696,40685.9776886031,4096.1215163403
"30",5799,"Khulna",578,206.812277436256,3706.62945075092,2.38247329478904,1270895.22090617,124128.131515835
"32",5762,"Barisal",575,64.4261583685875,2378.49116650177,2.55990584106912,196729.808427225,20014.4328607457
"33",5824,"Sylhet",580,50,3739.37588813078,2.63555127317057,95176.9140625,9770.13414193875
"35",5785,"Manikganj",577,10.7940293848515,1475.44666604663,2.60162216395509,22732.0251830133,2255.70182410259
"36",5804,"Satkhira",578,25,3557.07309907398,2.73400122885273,45182.953125,4738.48622858683
"37",5764,"Jhalokati",575,4.57592457532883,749.656994426186,2.55990584106912,11601.1306543078,1130.55112306356
"41",5813,"Nawabganj",579,22.6905569434166,1766.43736105216,2.65223772960063,51326.6247969295,5203.89468281804
"42",5775,"Lakshmipur",576,25,1259.60311134841,2.8113153167896,46359.484375,5014.66560652405
"44",5768,"Brahmanbaria",576,75,2042.10383674272,2.74456931580623,176818.17578125,18727.0475226206
"45",5782,"Jamalpur",577,29.9153689295053,2223.25521443606,2.63555121648696,59329.241816039,5973.05997017947
"48",5819,"Sirajganj",579,75.1085667405277,2621.21992700268,2.61219021324069,185317.692565966,18972.1419099558
"49",5778,"Dhaka",577,731.238936074078,1630.86003422504,2.14608170690246,9995418.02611551,927455.836120763
"51",5817,"Rajshahi",579,102.309442870319,2590.37511079843,2.15442496100539,343889.109156735,31510.2767640692
"52",5783,"Kishorganj",577,23.7000957131386,2705.41691817634,2.73400123411862,80360.3663176135,8427.65830028449
"55",5787,"Mymensingh",577,100,4603.94431700106,2.42307703588873,233361.609375,23450.299951475
"56",5776,"Noakhali",576,125,2904.19357227147,2.3413132395051,364595.8984375,35295.9467837573
"61",5818,"Rangpur",579,78.7783428095281,2529.61405805545,2.34131337453096,218232.439947175,20751.5813990077
"63",5805,"Bogra",579,125,3144.42001898742,2.42307710354363,282822.89453125,28755.2034026697
