"","GAUL_CODE","NAME","PARENT_ID","Area_covered_KM2","Area_total_KM2","Cost_target","Population_covered","Burden_covered"
"36",10114,"Sao Goncalo Do Amarante",684,21.8110553920269,257.32728173025,7.44720749486176,65160.2598066386,6144.90988690423
"119",11166,"Franca",689,25,636.607108458247,8.90377282277065,32142.080078125,3258.81555140603
"148",7200,"Serra",672,11.4639580249786,576.025460587698,8.5000094926155,23474.6160869775,2260.92680610999
"180",7634,"Sao Jose De Ribamar",674,37.9841404035687,164.788727450468,8.84717001310211,47301.0433336118,4924.60820567954
"204",9149,"Campo Magro",680,9.42095592617989,291.000700043514,7.7811607370746,19335.5654909966,1710.79622018213
"225",9600,"Olinda",681,40.6929399352521,42.4123931210488,7.09815948123979,267733.723535424,22082.6699663813
"231",11223,"Ipigua",689,0.414956081658602,140.483241875154,9.11131447497126,547.653201253124,56.9537545283361
"272",6761,"Lauro De Freitas",669,20.2842643542681,60.8489974576514,6.6453413668472,65402.0015938076,4776.17080970888
"275",11525,"Sao Bernardo Do Campo",689,150.326554849744,435.354018931321,6.01139587117833,980845.985340206,71533.7730642977
"278",10296,"Esteio",685,9.47562754154205,30.9990654466674,7.22079807697955,23623.7743772599,1895.51725633176
"310",11671,"Nossa Senhora Do Socorro",690,28.1150549650192,156.714491410468,8.84717028152571,60492.1492687999,6090.1375535736
"326",9036,"Santa Rita",679,52.0297861192375,754.979648680683,7.08306595295715,88056.494647192,8358.69573305398
"344",10543,"Sapucaia Do Sul",685,15.3244704008102,65.530339255929,7.22079807697955,38205.5784287215,3065.52763513896
"364",10081,"Parnamirim",684,26.8786266446114,128.518764884211,7.64154141878959,78142.2519550729,6818.33618236168
"372",7204,"Viana",672,5.53005927067716,307.853531840374,6.94156025081436,14211.8331786534,1137.97715078979
"428",7636,"Sao Luis",674,297.39651154523,542.636780180328,7.84908302903815,507478.308629379,50002.4023483874
"498",11253,"Itu",689,19.3664020858705,683.843216355308,7.77361362717462,20141.3471640013,2139.72060866083
"532",9924,"Itaguai",683,0.194352969992906,303.944635839616,5.55103025694246,882.35543847263,52.2826864183157
"551",9360,"Piraquara",680,0.74354107491672,246.755048035993,7.95474097499576,1401.56447017165,125.385691821909
"585",8907,"Cabedelo",679,12.2338939341716,44.1332784947008,7.98870225719385,17632.1364286372,1869.66589164348
"703",11324,"Moji Das Cruzes",689,6.19686341524357,776.249312359141,7.34154905981357,17944.4911555303,1467.11496471461
"802",9111,"Araucaria",680,17.4247533956077,510.601421268075,7.20947762316355,48428.4194097564,3880.94730292058
"832",8733,"Ananindeua",678,125.491126580164,184.37095413683,7.18683612657697,373416.914761858,34222.5691623142
"883",11311,"Maua",689,58.7232941034017,66.9835425651399,5.43027896630927,421813.817401985,29956.6534173788
"1147",11245,"Itaquaquecetuba",689,86.6257394198328,87.3856008052826,6.39629136340584,377252.944344744,28790.9657313672
"1159",11690,"Sao Cristovao",690,22.9086624225602,431.011886755005,7.20004375964178,45809.6687520654,4072.38955209215
"1302",11238,"Itapevi",689,10.76485592057,97.7170405967627,6.04913038299463,27547.2099509162,2164.74302394595
"1308",8892,"Bayeux",679,26.9116788009342,27.0244216988431,7.215137505197,80287.1717022602,7703.10854625787
"1340",9941,"Niteroi",683,52.4158172309399,141.711346257944,5.75668535415848,265218.240332075,17075.4227620108
"1383",11621,"Votorantim",689,0.636501592816785,197.014610434417,7.4566412035039,1719.02423797701,149.688746779945
"1384",9519,"Cabo De Santo Agostinho",681,1.97592903059558,465.156185781962,6.74345142887796,5822.48677101853,443.535945144883
"1387",7339,"Luziania",673,2.5127399712801,4056.6124291342,8.14530197243999,4477.24601685448,411.262081083013
"1420",8371,"Montes Claros",677,25,3670.86854870431,9.18112378651094,28495.947265625,2988.46469608762
"1462",7936,"Belo Horizonte",677,341.263770917431,345.616631396115,6.10573312747928,2448882.65075487,229157.81030497
"1478",6661,"Feira De Santana",669,50,1339.86803640146,6.9377863375435,117878.9609375,9323.33657847382
"1524",9422,"Santa Terezinha De Itaipu",680,5.57659305632114,313.186674984172,9.36791145985082,5537.50462436699,593.735146965968
"1534",9903,"Belford Roxo",683,80.9060741914436,84.946269611828,5.74725173268677,483269.272559358,34544.7445274926
"1543",8917,"Campina Grande",679,13.5308027267456,635.900832363404,7.27551375314085,30658.0949324481,2481.01599268132
"1549",9489,"Abreu E Lima",681,33.752319123596,127.372239792021,6.72647094126445,122753.438862334,10305.7013030211
"1550",9141,"Cambe",680,23.0401462409645,529.170285153668,7.70191761275865,29228.5245042429,3083.57174400858
