"","GAUL_CODE","NAME","PARENT_ID","Area_covered_KM2","Area_total_KM2","Cost_target","Population_covered","Burden_covered"
"225",9600,"Olinda",681,32.170396624133,42.4123931210488,7.09815948123979,217425.299514396,17981.6238165476
"275",11525,"Sao Bernardo Do Campo",689,54.2886378243566,435.354018931321,6.43591282225889,485237.879809331,35046.7573310179
"832",8733,"Ananindeua",678,10.5786874424666,184.37095413683,7.60380649708376,51168.2738973775,4951.80219632892
"883",11311,"Maua",689,33.8713164441288,66.9835425651399,6.43591278259081,271726.407133285,20736.4733875484
"1147",11245,"Itaquaquecetuba",689,18.8060705084354,87.3856008052826,6.39629136340584,156242.797197551,11533.8068471749
"1462",7936,"Belo Horizonte",677,273.827070184052,345.616631396115,7.64154160973561,2181000.10631305,207547.695968487
"1534",9903,"Belford Roxo",683,21.0587684065104,84.946269611828,6.36610344882429,166523.299334872,12312.5786984922
"1559",9525,"Camaragibe",681,10.4488593438873,47.723281447179,7.0830655754581,60332.4344907544,6338.46057024857
"1615",11569,"Taboao Da Serra",689,21.8676943135506,21.8800405338698,6.49440180985105,205446.966363048,16106.449177415
"1743",7207,"Vila Velha",672,13.0512997508049,231.807896145619,8.39623887932294,65692.4692651378,6241.41454248429
"1779",7942,"Betim",677,6.66667819023132,361.173419980332,8.30378840468726,34695.1787217166,3256.06461165963
"1876",9968,"Sao Joao De Meriti",683,36.2636707723141,37.073773908196,6.22271125499316,370166.236866571,25499.1096017561
"1933",11515,"Santo Andre",689,45.0466082897037,187.303902252461,6.18120248096523,491260.259727728,37548.3885227281
"2155",8076,"Contagem",677,47.6668186485767,203.080331883393,7.73021808616156,325928.337288433,29929.7370294905
"2221",9961,"Rio De Janeiro",683,4.2988043744117,1298.64795833128,6.22271125499316,45313.2032963072,3075.96082111956
"2222",9919,"Duque De Caxias",683,10.3932946920395,497.044258614915,6.22271125499316,95126.6432314897,6706.81114881682
"2255",11566,"Suzano",689,6.24167434871197,208.251304773148,7.39249138114735,36737.6916009462,3027.01626779622
"2291",9940,"Nilopolis",683,1.31068201735616,20.4391260631382,6.36610344882429,13295.379803636,923.984449382002
"2328",8742,"Belem",678,102.69647538662,522.258516420698,7.60380649708376,883009.672618303,83242.6433753067
"2335",11161,"Ferraz De Vasconcelos",689,17.8337063174695,30.324542382732,7.39249138114735,217552.684296301,18846.7195928726
"2381",11100,"Carapicuiba",689,12.1212711055705,37.3766923054063,6.49440208491062,114072.687939274,8993.52656619642
"2481",8545,"Santa Luzia",677,15.4360592365265,243.772980989888,9.11131425583873,70595.0803615898,7341.60735690654
"2482",11080,"Caieiras",689,3.44765447080135,102.534493067651,8.06417265520395,19659.7389359262,1785.82142832852
"2486",9611,"Paulista",681,19.7220185771585,101.698060147464,7.09815948123979,145254.414200936,11580.3754079962
"2530",7050,"Maracanau",670,19.6870961692184,96.6564293725241,7.98870209224261,96579.3291610996,9983.15028625612
"2707",11301,"Mairipora",689,9.72115024924278,343.514838853298,8.06417265520395,55433.4193509263,5035.37653501098
"2859",8714,"Vespasiano",677,1.39930406585336,73.0428883893183,9.11131425583873,6399.55972347292,665.528738067344
"3160",9183,"Curitiba",680,25,467.058903599627,8.48680263561158,109370.0234375,10515.6777483875
"3176",11425,"Poa",689,12.695610197261,18.4984103310853,7.39249138114735,79773.3501141571,6599.6142197884
"3315",11147,"Embu",689,11.24018849805,74.9800717458129,6.49440180985105,115403.91732671,8270.2988347169
"3514",9645,"Sao Lourenco Da Mata",681,1.03466240689158,261.401092645247,7.0830655754581,7682.14268543251,603.100423485
"3521",11193,"Guarulhos",689,58.5448727011681,338.788897666382,6.39629136340584,554902.051461356,43783.3869003378
"3657",11043,"Barueri",689,16.4700781926513,68.6410479378537,6.6302475822852,155959.021634076,12212.8159729833
"3729",11124,"Cotia",689,1.61979371412144,346.998440902166,6.49440208491062,13559.3470501769,1037.15709378158
"3799",6865,"Salvador",669,25,340.892658801749,8.39623886605759,117202.328125,11135.3450718447
"3805",9943,"Nova Iguacu",683,1.67478006333113,593.461843940895,6.36610344882429,16988.7407736473,1180.66068974872
"3996",11368,"Osasco",689,60.2724886499345,69.4281430449337,6.49440208491062,634459.371712104,47167.5844177661
"4209",11543,"Sao Paulo",689,942.14485369157,1632.83492779551,6.18120248096523,11058886.7725307,874255.89877758
"4282",9576,"Jaboatao Dos Guararapes",681,22.2584813127469,263.438974436576,7.0830655754581,142258.622577729,12235.8644076468
"4301",8390,"Nova Lima",677,13.2571758368442,447.540977031241,7.64154160973561,88611.8823956044,8508.69179420163
"4306",11132,"Diadema",689,32.2525661322288,32.8909398405813,6.43591282225889,381250.514573416,27475.967848799
"4381",6990,"Caucaia",670,20.8820395171642,1177.37179934047,7.98870209224261,159291.172294691,14526.2486334819
"4382",11526,"Sao Caetano Do Sul",689,16.5137603238691,16.5137603238691,6.18120248096523,195941.144521786,13469.0283471012
"4577",7148,"Cariacica",672,3.49508710205555,295.270963339135,8.39623887932294,17592.1867104925,1671.42643893942
"4776",8529,"Sabara",677,4.06701117753983,316.81461222106,9.36791139276581,29248.5971914139,3136.05517167967
"4869",7208,"Vitoria",672,4.99440170824528,77.3840541020036,8.39623887932294,25138.8434087893,2388.43119444314
"4874",8208,"Ibirite",677,12.6798842102289,76.2168554589152,7.95474084154567,66408.7769792872,6110.02181116369
"5110",9621,"Recife",681,194.457406178117,229.304636339657,7.0830655754581,1430066.03044166,125527.675314443
"5250",8961,"Joao Pessoa",679,25,214.523376641539,9.28300762484803,86529.296875,9185.40578071508
"5386",7005,"Fortaleza",670,206.640506535769,309.263740915048,7.43966058046009,1826995.46538817,166385.721299709
