"","GAUL_CODE","NAME","PARENT_ID","Area_covered_KM2","Area_total_KM2","Cost_target","Population_covered","Burden_covered"
"145",14376,"Candelaria",964,0.26062448596349,256.732927319536,10.0810275222031,1775.30474466207,128.753506041309
"210",14374,"Cali",964,237.16819435358,495.590289676329,9.49231721500793,1496733.88653254,111951.825088154
"226",13478,"Galapa",937,7.62146934866905,102.89413575083,11.0653755997929,60064.218799823,4793.77923131182
"236",14386,"Jamundi",964,0.00800262569100596,672.772227483074,10.5494621741369,44.9902214576014,3.41682798767581
"239",13475,"Barranquilla  (dist.port.",937,133.958063554019,1184.96462276453,11.0653754046001,1032994.95415808,90068.6161355935
"291",14387,"La Cumbre",964,0.00277146664302563,202.58993957159,11.1888143902143,12.0416475498662,0.972189881242671
"363",14406,"Yumbo",964,3.15747745335102,156.482185795903,11.1888143902143,13718.8122886423,1107.59681633713
"386",13746,"Puerto Tejada",944,3.68787385523319,98.6324144061655,10.5494621741369,20732.9778826358,1574.58702807262
"468",13481,"Malambo",937,2.518282586243,107.124564459082,12.6415999786272,14417.4709451335,1446.45934770681
"500",13396,"Heliconia",935,8.75084400177002,112.007862771861,11.9895879142109,32077.7719632983,2782.24913750528
"501",13398,"Itagui",935,3.55789745226502,23.2290127314627,10.6222611757615,24198.5203441327,1929.80369862096
"551",14378,"Dagua",964,3.57442982494831,785.855803673621,11.1888143902143,15530.4139243647,1253.85759766282
"643",13424,"Retiro",935,0.032281264429912,264.409769215854,10.739370207184,189.879043002031,14.6906909144297
"659",14134,"Cucuta",956,25,1173.33629040513,14.5818103615975,56565.10546875,6004.5959728101
"684",13380,"Copacabana",935,0.000138343830258236,65.5344962974141,11.9705966139909,0.513668653056271,0.044479707980537
"721",13357,"Bello",935,17.2307987231761,148.695008608047,10.0018996678064,65185.3054402613,5594.23468777708
"737",14257,"Matanza",961,0.215865857899189,279.4889132957,12.8536623280228,693.07646247209,64.5999695635964
"755",13493,"Soledad",937,45.3298980370164,50.7280688849278,11.0653755997929,249607.70023861,24348.8859498676
"856",14214,"Bucaramanga",961,72.5297719240189,167.84199825488,12.8536623280228,228560.168838136,22619.2968884343
"894",13487,"Puerto Colombia",937,35.0655872374773,92.4051093570597,11.0653754046001,129620.867330936,11912.3529777234
"938",14241,"Giron",961,2.25436296314001,654.502594230871,13.0942094165126,6265.99903809396,595.329972531963
"1014",13408,"Medellin",935,170.428039133549,357.378008943488,10.0018996678064,1017300.45608333,81506.2888863431
"1023",14238,"Floridablanca",961,1.78479264700826e-07,97.9839282480322,14.7242409120122,0.000612289124915236,6.56500740697804e-05
"1078",14392,"Palmira",964,2.14062612503767,1021.11754640937,10.4291889377116,13317.518786328,999.413277743124
