"","GAUL_CODE","NAME","PARENT_ID","Area_covered_KM2","Area_total_KM2","Cost_target","Population_covered","Burden_covered"
"1",70098,"Buxar",70073,218.924023909494,1857.5618689938,6.40880600960351,393106.91288858,28663.1600643848
"2",17642,"Junagadh",1491,73.3059734106064,8647.33884573388,8.79646435413665,65656.0377945106,6228.59778464925
"4",17929,"Muzaffarnagar",70081,1246.06727007776,4555.79102519587,7.34442243541601,1509534.375489,133143.260639643
"5",70237,"Dausa",1506,116.096311807632,3945.05836857606,7.70095002442938,99879.0383207514,9051.56793475848
"7",17762,"Buldana",1498,250,10063.2955895766,7.83275768726557,260929.958984375,24014.5232031322
"10",17899,"Bijnor",70081,542.692590504885,4851.98253228677,7.83275779648703,555089.166513003,51973.3713001654
"12",17918,"Jaunpur",70081,335.310463359929,4393.5904767568,7.05055652939596,417327.169227697,35907.7845289807
"13",17614,"Munger",70073,325.589644836145,1484.56319331017,6.63784856015499,525172.541341736,46007.9564306413
"14",17555,"Khammam",1485,125,16583.015477648,7.82195397698984,109591.896484375,10414.8875090601
"15",17733,"Mandsaur",70079,100,6055.9425081854,8.61928008116033,88332.708984375,8505.35726244009
"16",70228,"Puducherry",70080,161.433457751991,196.075999271125,6.49523675711099,338919.605306394,30523.7270559061
"17",17843,"Churu",1506,75,18977.5319584046,9.82715409374103,50826.3671875,5475.80991719103
"20",17616,"Nawada",70073,269.73275244236,2685.68782230614,7.44165703079676,339046.54488871,29083.7569580182
"21",17626,"Samastipur",70073,1295.54664562456,3164.12688945857,6.09117201107568,1923021.12292195,153482.015298178
"22",70094,"Araria",70073,454.70385402441,3086.69486650615,7.16939934951404,512854.201276805,44217.4783681609
"24",17658,"Hisar",1492,175,4681.24137717787,8.10501542570454,156444.552734375,14510.1586667669
"25",17628,"Saran",70073,976.780420653586,2883.4395391355,6.44553921682298,1433798.59964417,117493.947209345
"26",17765,"Garhchiroli",1498,25,15084.0614210192,8.5112415130174,19133.35546875,1730.29412475638
"27",17926,"Meerut",70081,1332.48029848328,2919.95276891394,6.42609222631142,2182546.70453624,185171.554124148
"28",17561,"Nellore",1485,475,13276.7028077145,6.81287148093723,572944.243164062,50199.5669313653
"30",17724,"Durg",70075,675.963864679943,9065.02268859518,6.52332708452665,1331048.24417679,116718.343300491
"31",17645,"Mahesana",1491,134.738025466868,4696.70821142972,7.09809347132646,159854.57756553,13309.6037094891
"33",17937,"Shahjahanpur",70081,425,5163.0451409228,7.57562499956768,482828.26953125,43722.6057874628
"35",17846,"Ganganagar",1506,50,13077.3987371016,7.41572779378073,55171.619140625,4606.06004644596
"36",70259,"Badaun",70081,422.901812661439,5639.85614084231,7.34442240625051,441726.010647791,41932.3071206698
"37",17870,"Kanniyakumari",1508,450.538467528531,1580.07101965777,6.92307060619993,739535.782539372,62974.5776365694
"38",17882,"Sivaganga",1508,152.814091421897,4056.20609151665,5.89454117706168,198866.721497502,16457.7256897822
"41",17562,"Nizamabad",1485,275,8187.32655162537,7.55833883875087,315085.197265625,29166.0515525255
