"","GAUL_CODE","NAME","PARENT_ID","Area_covered_KM2","Area_total_KM2","Cost_target","Population_covered","Burden_covered"
"4",17929,"Muzaffarnagar",70081,100,4555.79102519587,8.58470749322111,201925.59765625,19167.5410751233
"10",17899,"Bijnor",70081,25,4851.98253228677,9.44469683698331,37522.25,3777.60866264861
"13",17614,"Munger",70073,99.4696617126465,1484.56319331017,8.30164586162425,220378.370410755,20698.9070276873
"16",70228,"Puducherry",70080,66.6350645944476,196.075999271125,8.59118985770975,166042.110125578,16482.7809683432
"21",17626,"Samastipur",70073,70.6396535038948,3164.12688945857,8.37079083929574,137290.550604031,12993.9650253184
"22",70094,"Araria",70073,25,3086.69486650615,8.6192805572341,47889.40625,4387.5763470543
"25",17628,"Saran",70073,97.4901710823815,2883.4395391355,7.83275803008117,207209.560583639,19687.8311854857
"27",17926,"Meerut",70081,309.592209989205,2919.95276891394,8.58470780160176,604730.093314009,60236.5959215102
"28",17561,"Nellore",1485,25,13276.7028077145,9.82715353723239,38307.40625,4017.42481792932
"30",17724,"Durg",70075,298.549965629354,9065.02268859518,7.55833885270033,759114.098801666,69718.7316070816
"33",17937,"Shahjahanpur",70081,25,5163.0451409228,9.50951952487833,35233.68359375,3572.26625750545
"37",17870,"Kanniyakumari",1508,125,1580.07101965777,8.30164548743617,264965.046875,24418.4393522349
"38",17882,"Sivaganga",1508,4.57774102687836,4056.20609151665,7.06352124584896,19488.2231979398,1452.79011455024
"41",17562,"Nizamabad",1485,25,8187.32655162537,9.50952039824955,37050.8125,3756.50134524726
"44",17777,"Raigarh",1498,75,7257.91372018957,8.84616184622665,138158.69140625,13800.4214240862
"46",17897,"Bareilly",70081,150,4217.26242603036,8.25410902374587,350220.04296875,33287.8685177528
"47",17730,"Jabalpur",70079,300,4280.77897468843,8.58470781794049,549403.92578125,53899.3737390816
"49",70183,"Mumbai Suburban",1498,381.130344606936,390.494630153989,6.6832247085828,9288003.08480246,785001.105623048
"53",17553,"Hyderabad",1485,181.853269413114,183.153455145657,7.44165712547291,3940080.70432395,351814.564354595
"54",70234,"Muktsar",1505,25,2948.74995067257,9.4835906539917,36570.74609375,3697.42277842777
