"","GAUL_CODE","NAME","PARENT_ID","Area_covered_KM2","Area_total_KM2","Cost_target","Population_covered","Burden_covered"
"1",1013317,"JOMBANG",1013663,141.722872853279,1080.81083352445,15.9834786601628,421901.686235103,40789.850112031
"3",1013319,"KOTA CILEGON",1013688,32.115712761879,190.939605596941,18.1395617372304,92986.3210744578,8829.92441427285
"5",1013370,"BEKASI",1013680,190.233361373248,1245.84706217502,15.9834788334594,1066144.34992381,97752.4310122406
"10",1013610,"SIDOARJO",1013663,246.370673680212,678.907347154654,15.4926266031051,1321418.57459835,119806.959508395
"16",1013595,"PURWAKARTA",1013680,24.9862998723984,884.57286871926,16.5293826970524,165575.245419305,13740.7860083946
"18",1013442,"KEBUMEN",1013686,25,1310.41739638895,17.4514511101647,81201.2265625,7125.73656686281
"25",1013459,"KOTA BANDAR LAMPUNG",1013673,141.863612830639,276.960919704288,16.5293821067159,638289.655887987,60478.4282340582
"28",1013478,"KOTA MALANG",1013663,58.4241976961493,73.1299709063023,15.4421649455294,584569.266707347,54246.3012626094
"32",1013561,"MUSI BANYUASIN",1013693,29.7463733702898,26566.5090031422,16.9284862619636,119035.387560354,11385.8533199081
"34",1013573,"PADANG PARIAMAN",1013682,8.28190743923187,1638.0443066475,17.4514512180995,27542.6245395346,2416.97689043369
"43",1013574,"PAMEKASAN",1013663,25,795.525317687282,17.4285150236094,103575.34375,9076.87718062232
"46",1013592,"PROBOLINGGO",1013663,2.45419628918171,1708.68429125694,20.7635615194423,9979.14097836497,1046.54562855004
"48",1013320,"KOTA DEPOK",1013680,193.187615309034,194.383357312654,15.4926273537427,1742496.43738434,157243.975974189
"50",1013322,"KOTA JAKARTA BARAT",1013676,121.945114945993,122.17704129871,15.6623608329552,2245968.56209624,209138.122822199
"51",1013323,"KOTA JAKARTA PUSAT",1013676,51.5806997536856,51.5806997536856,15.6623607343515,1380342.10738188,129360.665562448
"52",1013324,"KOTA JAKARTA SELATAN",1013676,151.322378043758,151.322378043758,15.4926273545592,2646874.93024948,261656.528828005
"53",1013325,"KOTA JAKARTA TIMUR",1013676,185.94457351719,185.94457351719,15.4926276212094,3313377.89201447,297902.537376211
"54",1013326,"KOTA JAKARTA UTARA",1013676,101.488625397906,158.495774457697,15.6623607343515,1679504.20492451,146361.186242095
"55",1013327,"KOTA JAMBI",1013672,70.6627711653709,146.745076896184,18.1258012151078,367195.47647887,33543.7787132158
"56",1013329,"KOTA KEDIRI",1013663,40.6144313514233,67.9287804639898,18.1992002322007,201246.311128872,19054.7805794727
"58",1013331,"KOTA MEDAN",1013681,228.202202729881,294.661391153932,15.4926266447376,1869770.59004706,158024.349089157
"59",1013332,"KOTA PADANG",1013682,55.2593249827623,542.510978975042,15.9834786905869,311239.3287809,27202.862213193
"62",1013335,"KOTA PEKALONGAN",1013686,78.1330361962318,84.3871449586004,16.5293816613332,294277.375593239,28567.7270562683
"64",1013337,"KOTA SEMARANG",1013686,159.069050563267,374.168837320758,15.9467804647769,1453087.81520708,140235.699785105
"74",1013351,"BADUNG",1013678,36.5109301637858,390.488028695108,17.5248494167587,97672.5495264727,10111.1658035584
"75",1013352,"BANDUNG",1013680,410.262423753738,3047.0080793697,14.4054099286401,2913060.2465619,261039.277837524
"80",1013358,"BANJAR",1013685,26.0892249643803,5094.54544484179,16.5293822124278,118780.862626747,10609.677450614
"82",1013339,"KOTA SURABAYA",1013663,238.108269870281,315.388179197907,15.4926266031051,2932891.82587341,254002.291090393
"88",1013361,"BANTUL",1013669,87.8240732476115,482.188387401402,15.4926267870997,511052.60041018,46473.0281337606
"89",1013362,"BANYUMAS",1013686,49.8254150152206,1390.69125661626,16.529381816631,230986.425959839,20174.8521541073
"90",1013364,"BARITO KUALA",1013685,24.5239589363337,2297.88424440194,17.8643189636303,87551.22326052,8279.10387951329
"94",1013368,"BATANG",1013686,0.0419313961174339,732.078216365426,21.0112830562358,123.434197653884,13.1029984946899
"98",1013374,"BENGKAYANG",1013695,25,5870.75379775142,19.3277020334848,95666.921875,9322.91447538549
"102",1013654,"TUBAN",1013663,1.54666872695088,1956.77313796405,20.763562159164,4997.33934018182,524.087575982797
"103",1013656,"TULUNG AGUNG",1013663,50,1147.36642837106,17.8643188367438,195453.3046875,18125.0527880468
"118",1013522,"LAMPUNG TENGAH",1013673,1.900939270854,4322.46489496538,20.0892125535529,5030.44846393866,510.026195806164
"119",1013521,"LAMPUNG SELATAN",1013673,8.13638754189014,3170.22994943955,18.1395628327794,28555.806192663,2721.40211188352
"125",1013590,"PONTIANAK",1013695,75,10502.684055966,18.1258004526116,318289.15625,30037.6005498754
"127",1013481,"KOTA METRO",1013673,23.099060356617,78.9139915956184,20.0892125535529,61126.9568002392,6197.52880116452
"136",1013632,"TABANAN",1013678,11.1603826284409,859.390953472803,19.9515905697025,26958.1483723689,2714.05184423442
"138",1013472,"KOTA DENPASAR",1013678,89.9267261847854,122.507483651862,17.4285145583595,486729.333714766,43186.7785622437
"139",1013452,"KLUNGKUNG",1013678,19.8890087893233,307.494191289879,21.0112825179165,44439.3296115081,4717.39975497589
"142",1013413,"GIANYAR",1013678,27.5125022977591,362.462232843973,18.1992006266859,62005.4604475832,6506.73733173228
"145",1013645,"TASIKMALAYA",1013680,72.4538207054138,2908.84911951143,17.3230021996646,311438.39401418,27325.6634046365
"146",1013629,"SUMEDANG",1013680,15.9039931837469,1557.75284405022,15.7862204162838,73321.8796409995,6703.37696569184
"147",1013624,"SUKABUMI",1013680,26.643580198288,4111.76499491103,16.2587247129327,149427.532647329,13208.3810748609
"150",1013512,"KUNINGAN",1013680,2.40429528057575,1203.10166005984,19.327701804188,9509.80980312615,926.748145083413
"151",1013497,"KOTA SUKABUMI",1013680,23.356419801712,60.9031869098544,16.2587247129327,129585.857977671,12023.9142986662
"152",1013471,"KOTA CIREBON",1013680,20.1427921652794,22.5944546051323,15.4926262072582,165502.003102623,13424.1282136088
"153",1013468,"KOTA BOGOR",1013680,92.0427177101374,107.336570741609,16.5569057526711,818405.211443431,77111.6002815055
"154",1013463,"KOTA BEKASI",1013680,203.693554856,229.387741282699,15.4926276212094,2227863.16846536,204945.143743234
"155",1013460,"KOTA BANDUNG",1013680,148.833581525832,148.833584653301,14.4054099286401,2431139.89418774,209840.405547234
"156",1013439,"KARAWANG",1013680,67.3302009701729,1909.19434530979,19.6717583683574,171738.826667216,17505.7269896905
"158",1013412,"GARUT",1013680,50,3051.5326607383,16.0522902783217,263195.71875,23379.7349318943
"159",1013402,"CIREBON",1013680,147.527547180653,1037.73375892847,15.4926262072582,729316.553412163,63925.3373246095
"160",1013400,"CIANJUR",1013680,25,3601.25031220705,15.4421654400381,113308.375,8766.51927616925
"161",1013399,"CIAMIS",1013680,2.54617873579264,2820.12130921939,17.6441225545917,10205.3771836115,905.726302293115
"162",1013385,"BOGOR",1013680,384.235380234895,2939.35054329231,15.4926273537427,1973681.77369571,185361.042964955
"167",1013613,"SIMALUNGUN",1013681,13.7026906013489,4380.98290279847,15.8596190270245,70317.5906801876,5675.17355651805
"169",1013526,"LANGKAT",1013681,11.7165809497237,6097.72426440977,15.4926269053313,48599.3062689233,4277.77517453509
"173",1013490,"KOTA PEMATANG SIANTAR",1013681,36.2973093986511,53.3414780824387,15.8596190270245,217113.237444812,17688.7080344121
"174",1013465,"KOTA BINJAI",1013681,33.8897876441479,58.1361972959712,15.4926269053313,168263.317539168,13651.7288191509
"182",1013404,"DELI SERDANG",1013681,250.809593708254,4497.78056604555,15.4926266447376,1219201.07762362,111595.444232864
"196",1013474,"KOTA KUPANG",1013683,25,164.18179704342,20.0892138287111,130946.8515625,13276.4164816608
"205",1013461,"KOTA BANJARMASIN",1013685,99.3868179619312,112.724073109993,16.5293822124278,501488.056363635,44960.0472465788
"212",1013647,"TEGAL",1013686,200.09007928893,975.105126199924,16.529381719266,907157.724388933,84858.5701317979
"213",1013625,"SUKOHARJO",1013686,125.79700468923,505.934540378803,16.5293818206399,582377.036444056,55431.5053338974
"214",1013606,"SEMARANG",1013686,0.116983987390995,1006.87196566723,18.680878362503,561.964095994248,52.8856417100039
"217",1013594,"PURBALINGGA",1013686,0.174585520289838,805.317302293042,18.9607100684205,562.8101414829,53.7792895900617
"218",1013584,"PEMALANG",1013686,98.3968958258629,1107.63354628652,16.5293823265296,352728.216778,33154.1326079464
"219",1013582,"PEKALONGAN",1013686,116.297753341496,960.259945038706,16.5293816613332,448150.000249502,45040.4429206151
"220",1013581,"PATI",1013686,25,1566.11220084596,20.7635626553906,50431.2265625,5288.89037349512
"221",1013538,"MAGELANG",1013686,22.2568348050117,1120.54431481809,16.6624149664966,83348.2713406784,6974.23067582487
"222",1013510,"KUDUS",1013686,75,418.220230934094,17.8643183965189,342311.5703125,32245.6978303269
"223",1013503,"KOTA TEGAL",1013686,29.264481831342,39.8828176548705,16.5293825019508,163019.385685664,14628.6873997624
"224",1013498,"KOTA SURAKARTA",1013686,75.0302331522107,83.465873147361,15.9834793471013,535159.395240604,48186.1259416086
"226",1013476,"KOTA MAGELANG",1013686,2.74316556751728,9.35585987754166,16.6624149664966,10272.7144293829,859.577276708617
"227",1013451,"KLATEN",1013686,111.573822796345,658.192742730898,16.5293825279553,393532.286620423,36657.9564403598
"228",1013444,"KENDAL",1013686,49.9379426240921,1001.74973238873,19.6717584457237,125641.914272847,12846.5456977515
"229",1013437,"KARANGANYAR",1013686,39.5728403280373,804.319591585954,15.9834793471013,194126.290129006,16792.2704210363
"231",1013405,"DEMAK",1013686,34.0962409973145,968.414250155911,15.9467804647769,133877.679201394,12395.7019886749
"232",1013401,"CILACAP",1013686,22.606648504734,2244.82987218071,16.5293814373025,134590.165434242,11169.3901602316
