"","GAUL_CODE","NAME","PARENT_ID","Area_covered_KM2","Area_total_KM2","Cost_target","Population_covered","Burden_covered"
"3",23028,"Lagelu",2235,55.1302639767528,262.570773344487,2.18602617204182,321938.171780797,28893.7342928118
"6",22661,"Bauchi",65699,100,3463.63227177717,2.77058198954754,199841.24609375,18254.9986251788
"7",22594,"Ikwuano",65698,19.4357566768304,250.470545247663,2.80003871918049,41298.7146673777,3945.41457839361
"8",23026,"Iseyin",2235,75,2793.29095646826,2.8098578147239,198442.7109375,18820.0052694511
"11",22832,"Tudun",2224,50.7269764784724,54.4500339310616,2.45637514403775,296490.971371933,26995.2492145703
"12",22909,"Okehi",2228,56.9616368040442,660.661040196646,2.43215506111876,150276.487785872,12973.0895738381
"15",22939,"Bida",2231,21.527536958456,2035.82934089389,2.80789420689679,42397.4650259705,3879.75978132765
"18",22672,"Katagum",65699,25,1231.78271058423,2.81836767379347,45924.98046875,4207.59753895892
"19",22981,"Ikere",65702,25,204.490768772666,2.87924519831794,39166.8359375,3674.79080858337
"23",22645,"Anaocha",2213,63.5711345821619,113.740415265784,2.20304565792427,257498.566509213,22520.7972907966
"25",23018,"Ibadannorth-west",2235,34.418384754099,35.0900897523388,2.49696014716107,231204.20973327,19988.6633797039
"29",22786,"Ikeduru",2222,17.7827851846814,167.585303523811,2.50219690406985,42655.4029555359,3577.37078761818
"36",22732,"Ethiopew",2218,31.9817043840885,559.021148487227,2.80003882215478,65249.0923633518,6002.47669435413
"38",22922,"Moro",2229,0.451901648193598,3231.91638497956,2.45637514866125,1703.67881659989,133.750375938682
"41",22771,"Ohaukwu",65701,24.6243163943291,508.201606210787,3.08806197630213,42769.9328222664,4336.35031573968
"43",23001,"Ifenorth",2234,3.22786569595337,883.302247431129,2.70774061056559,10104.9253536128,885.310552440568
"44",22654,"Onitshan",2213,70.832509174943,74.4153813458979,2.49237782854275,348497.221698457,32318.8354318125
"48",22749,"Esansout",2219,0.930416118353605,1487.69773080276,2.80789411164855,1996.95822067812,182.201579327956
"49",23012,"Osogbo",2234,38.7746877968311,58.0802075564861,2.43215504368732,170058.321662091,14341.9565812787
"51",22999,"Ifecentral",2234,74.9290956184268,312.18086227309,2.65013606009324,236493.747832866,22425.9790807061
"59",22773,"Udi",65703,31.3566654920578,915.971240482759,2.63704399271434,67682.4608865203,6165.76369303362
"63",22914,"Asa",2229,24.1467528045177,1522.18230307626,2.92703087721742,72493.027976478,7143.95778393924
"64",22748,"Esannort",2219,24.0695834159851,353.925925728981,2.80789411164855,51660.70484237,4713.49971872664
"69",23040,"Bassa",65707,9.73191154189408,1375.77266296139,2.67959289911466,22589.2734450259,2015.7475894618
"75",22870,"Funtua",2226,45.5811113119125,969.817023584619,2.80789412706362,73437.3856639261,6860.56216710108
"80",22934,"Mushin",2230,56.2651067652041,56.2651067652041,2.46161179220258,1382544.96200041,115676.656535447
"87",22967,"Ado-ekiti",65702,25,323.675377923064,2.88710054781846,61801.9609375,5816.09465467536
"89",22978,"Ifedore",65706,2.28162221610546,301.290114619769,2.97939861709999,6148.74085815484,599.2059085023
"91",22708,"Maidugur",2216,241.310796886683,708.455728925765,2.58271259019908,971793.613194885,93125.7018354045
"92",23058,"Asari-to",65708,31.8361315876245,101.640414004214,3.04093088294083,84753.738950057,8492.02230040956
"93",22971,"Akure",65706,122.718377411366,1014.58653873315,2.58271256437188,344296.918294167,32107.2867743573
"104",22642,"Uyo",2212,29.6933129429817,260.755600000266,3.0284936727182,72073.343126145,7604.71294103285
"106",22743,"Ugheliso",2218,20.4684421420097,712.086823041318,3.19672512347418,39040.4991105327,4111.89482102158
"112",22975,"Emure/ise/orun",65702,75,638.88193537714,2.80985767358833,174190.6796875,17347.7072849282
"116",23014,"Akinyele",2235,113.874801713973,488.235996334879,2.65013603557447,671100.819238044,66743.018149886
"118",23061,"Degema",65708,56.1447415500879,923.734973135288,2.49696019386688,136748.513484332,12599.8590849523
"120",23004,"Ilesa",2234,41.6298188269138,132.495357748121,2.71166829499221,94233.9161217131,8623.01390455393
