"","GAUL_CODE","NAME","PARENT_ID","Area_covered_KM2","Area_total_KM2","Cost_target","Population_covered","Burden_covered"
"3",23028,"Lagelu",2235,27.9281601309776,262.570773344487,2.88710055100317,224478.9332581,21310.2154736109
"11",22832,"Tudun",2224,17.310453648679,54.4500339310616,2.77058196118896,131693.067678277,13454.7373934908
"23",22645,"Anaocha",2213,22.5267734378576,113.740415265784,3.06842402296468,107738.929078557,10861.8499945743
"25",23018,"Ibadannorth-west",2235,18.7440984533168,35.0900897523388,2.49696020836651,151849.931344528,13641.5749185338
"44",22654,"Onitshan",2213,33.38902592659,74.4153813458979,3.06842403259922,147583.957384158,15198.6814859087
"63",22914,"Asa",2229,5.42043223977089,1522.18230307626,3.1842878763804,23275.5935081076,2440.98888417948
"80",22934,"Mushin",2230,56.2651067652041,56.2651067652041,2.46161179220258,1382544.96200041,115676.656535447
"91",22708,"Maidugur",2216,107.966581732035,708.455728925765,2.92703095194943,439778.131801014,45241.2383446846
"116",23014,"Akinyele",2235,88.8748017139733,488.235996334879,2.88710055100317,586573.764550544,59513.8225940556
"123",22846,"Gezawa",2225,0.358066568151116,349.086905496915,2.80985772853523,3756.58137044584,392.651931851414
"131",22862,"Ungogo",2225,47.8760880592745,191.179960925365,2.58009415229722,356054.627082727,32158.9722559159
"140",23072,"Portharcourt",65708,12.932858010754,140.360791562125,2.74177969600696,89637.4954114533,8001.55193836212
"141",23075,"Tai/ekem",65708,7.99982082098722,315.205836773384,2.74177969600696,33265.2944691936,3342.26672707547
"157",22740,"Oshimill",2218,5.27238585054874,706.64018169773,3.19672512307698,19605.239918481,2064.89892064229
"159",23035,"Oyo",2235,25,2434.52535715624,3.18428775899491,167652.125,17582.2350910002
"166",22589,"Aba",65698,41.1644980311394,71.3899791240692,2.97939856917424,342853.919479656,33940.6227401637
"168",22602,"Ukwaeast",65698,0.315886060707271,369.050811254419,2.97939856917424,2844.87697016605,277.238397005862
"169",22755,"Ovianort",2219,6.94592297077179,1826.49900738616,3.18428779931474,45297.3851688951,4750.48727320452
"175",23095,"Sokoto",65709,48.3843237161636,85.3049797005951,3.18428779034549,240196.877807243,25328.2292093981
"183",22819,"Doka/kaw",2224,60.1115383207798,76.230324167409,2.77058196118896,457787.518560708,45255.25556241
"191",22955,"Abeokutanorth",2232,20.4627230763435,825.221462597983,3.21963606638308,91495.3381835097,9712.5696426331
