"","GAUL_CODE","NAME","PARENT_ID","Area_covered_KM2","Area_total_KM2","Cost_target","Population_covered","Burden_covered"
"2",41748,"Kandy",2736,272.485538013279,1904.8256037524,9.27535007753944,471388.829159912,40747.8095550692
"5",25846,"Galle",2742,217.086981609464,1595.16247922584,10.0674623865836,252700.912873775,22853.5463345827
"6",25853,"Kalutara",2744,255.205341428518,1627.87160339067,8.63054223589375,466135.460847688,41321.8632463215
"7",25830,"Matale",2736,27.5144621729851,2040.35420309519,9.27535007753944,28164.6983585488,2453.97267944165
"12",25851,"Colombo",2744,622.881577350199,675.425286836253,7.4493216142722,1954077.61449257,163377.771201288
"13",25844,"Kegalle",2741,79.7861136496067,1646.67796831563,8.65555684801842,74898.042954759,6468.66822836569
"14",25839,"Jaffna",2740,25,1096.50026786626,11.006880935848,25208.431640625,2300.00614078184
"17",25837,"Kurunegala",2739,50,4860.63769454704,10.6233315336494,50914.73828125,4729.91907437213
"19",25833,"Batticaloa",2737,21.7607125639915,2607.82871730003,10.8484581625593,24563.1489309885,2207.93316185214
"20",25852,"Gampaha",2744,758.150174008915,1403.54486296419,7.4493216142722,1480947.77582328,126823.096673381
"23",25845,"Ratnapura",2741,1.69897809028043,3255.72854680868,8.06911525208537,4471.12996127999,310.828036817835
"24",25838,"Puttalam",2739,61.6582771763206,3136.78886627249,9.51437326761475,80126.9191754235,6956.32084435949
"25",25848,"Matara",2742,127.435667812824,1293.34976615501,10.0507868133624,151926.109671955,13536.0001694374
