"","A2_NAME","A2_GAUL_CODE","A2COUNTRY","Area_mun","Area_covered","Pop_mun","Pop_covered","Burden_mun","Burden_covered","Target_cost","VC_cost_per_year_covered"
"22","Aguascalientes",1008986,"MEX",1178.62635626299,244.587980599037,519499.28125,157410.046875,4008.60424804688,3107.06762695312,10.5521490997626,190635.8125
"23","Yangon (North)",1011882,"MMR",4517.35919672085,47.6373965632257,1622469.375,585547.8125,56167.67578125,23762.287109375,3.5163696330824,308064.5625
"31","Quevedo",15467,"ECU",1830.14270078904,146.69915478129,211326.96875,119373.796875,6753.63134765625,4693.03955078125,8.16516811468971,184762.71875
"34","Ocoyoacac",1008988,"MEX",134.690609802769,23.2229104687015,88072.2734375,17701.154296875,312.351135253906,155.581588745117,9.77882961351208,21437.47265625
"35","Huitzilac",1008989,"MEX",191.146087440646,10.5481259621178,111630.9609375,1437.9013671875,364.394775390625,42.4382514953613,33.2438813530083,1741.41027832031
"36","Jantetelco",1008990,"MEX",102.10166549302,82.6173083289616,17836.85546875,16079.8994140625,397.932464599609,373.860900878906,15.5614129502253,19474.0078125
"37","Jiutepec",1008991,"MEX",55.4821092931189,55.4821092931189,111082.8671875,111082.8671875,3276.98974609375,3276.98974609375,27.6921413701401,134529.984375
"38","Jojutla",1008992,"MEX",153.384071698949,153.384071698949,35694.1171875,35694.1171875,1215.72106933594,1215.72106933594,24.125639140758,43228.34765625
"39","Jonacatepec",1008993,"MEX",90.25221312874,82.6601859400016,14537.421875,13955.015625,432.042907714844,423.236450195312,20.593759076051,16900.607421875
"40","Mazatepec",1008994,"MEX",57.8009933311471,57.8009933311471,7438.01611328125,7438.01611328125,242.137466430664,242.137466430664,25.7876977423837,9008.015625
"41","Miacatl",1008995,"MEX",214.453845922726,141.353118960568,43682.5546875,23624.515625,851.64404296875,731.149536132812,19.3587579106389,28611.123046875
"42","Ocuituco",1008996,"MEX",86.8939993769412,1.39283241830401,20705.53125,760.144714355469,78.4169692993164,15.1737680435181,22.4289517423634,920.594360351562
"43","Puente de Ixtla",1008997,"MEX",297.375866811027,245.973464551644,39286.0859375,35665.25,1182.01452636719,1132.4658203125,23.5947014294514,43193.38671875
"44","Temixco",1008998,"MEX",102.867837915771,91.6142165361864,122550.390625,114848.875,3397.0458984375,3348.44555664062,15.2382337359734,139090.90625
"45","Tepalcingo",1008999,"MEX",367.603242502827,186.956487605657,39784.3125,28589.259765625,942.529052734375,769.434265136719,20.4321719984358,34623.8125
"46","Tepoztl",1009000,"MEX",252.817402814326,164.229934341308,137565.65625,99368.6875,2718.47924804688,2599.46655273438,23.6870390700756,120343.1953125
"47","Tetecala",1009001,"MEX",67.921385178192,67.921385178192,8011.16455078125,8011.16455078125,227.123550415039,227.123550415039,25.7876977423837,9702.142578125
"49","Gral.  Zuazua",1009003,"MEX",184.837572119708,138.039261421008,83168.4765625,82020.7109375,2936.06005859375,2926.384765625,21.3901650032974,99333.4453125
"50","Guadalupe",1009004,"MEX",117.769146419523,117.769146419523,513015.4375,513015.4375,18041.71875,18041.71875,31.5933642359492,621301.5625
"52","Higueras",1009006,"MEX",444.022065542444,1.3179460104909,1300.0517578125,136.659362792969,8.13710784912109,2.51378750801086,21.3901650032974,165.505096435547
"53","Hualahuises",1009007,"MEX",127.772141265753,82.0092338650269,16106.9853515625,14320.6376953125,507.178344726562,487.522796630859,20.5591346033938,17343.404296875
"55","Ju1rez",1009009,"MEX",246.949776738602,238.194723096959,179904.53125,179485.796875,6608.544921875,6602.3583984375,23.5947030661316,217371.234375
"57","Linares",1009011,"MEX",2539.19202053225,218.678664088466,69479.1484375,43694.0078125,1719.16235351562,1532.50244140625,20.5591346033938,52916.83984375
"58","Mar",1009012,"MEX",264.175714235118,93.9343144152504,14392.44921875,12787.8203125,437.159881591797,425.106628417969,29.6427520574979,15487.0439453125
"61","Mina",1009015,"MEX",3871.52422427796,29.7012756874991,13962.478515625,4451.1630859375,127.010063171387,75.6982192993164,19.3818414808125,5390.70458984375
"62","Montemorelos",1009016,"MEX",1868.94782268721,156.798994463128,66743.9453125,41082.765625,1505.80212402344,1297.28527832031,23.0637655782912,49754.421875
"63","Monterrey",1009017,"MEX",323.541957664698,315.514041580076,794384.3125,792627.5,23122.166015625,23107.44140625,8.46303222774814,959933.5
"65","Pesquerea",1009019,"MEX",308.833682194081,102.708149944597,63873.796875,59965.7578125,2270.58837890625,2206.681640625,21.9441850191726,72623.1875
"68","Sabinas Hidalgo",1009022,"MEX",1541.85648412602,113.380061881247,35687.12109375,20053.70703125,586.402587890625,497.15087890625,27.0342426736365,24286.59765625
"69","Salinas Victoria",1009023,"MEX",1657.76702553328,126.168493026516,75052.296875,68193.703125,2382.6123046875,2350.474609375,23.4446551849998,82587.875
"70","San Nicolns de los Garza",1009024,"MEX",60.0877848097508,60.0877848097508,236350.359375,236350.359375,9495.642578125,9495.642578125,30.0005577328329,286238.65625
"71","Hidalgo",1009025,"MEX",170.088512928014,55.9082760734553,15092.02734375,10522.7978515625,218.141311645508,188.469055175781,19.6473096212924,12743.9267578125
"72","Santiago",1009026,"MEX",746.34198394678,195.035007781393,36196.14453125,27779.169921875,982.27978515625,905.504699707031,23.0637655782912,33642.73046875
"75","Heroica Ciudad de Ejutla de Crespo",1009029,"MEX",299.695312375416,33.614772657217,18914.580078125,3785.96459960938,107.780128479004,64.6983184814453,19.1740861165093,4585.09716796875
"76","Eloxochitlmn de Flores Magan",1009030,"MEX",35.9386217000207,5.60880730956565,6010.9033203125,1789.30017089844,46.9386291503906,19.5280475616455,12.8951923072552,2166.98168945312
"77","Reforma de Pineda",1009031,"MEX",34.8244046831231,18.0097786093363,1616.81286621094,1332.96508789062,37.3743743896484,32.2450942993164,26.9765317289343,1614.32434082031
"79","San Antonio de la Cal",1009033,"MEX",10.333963296311,7.9351207949793,14684.9423828125,12613.7939453125,143.900054931641,130.870803833008,12.2834619131514,15276.2841796875
"85","San Blas Atempa",1009039,"MEX",212.186032704304,82.6983008234021,17629.6640625,14149.87890625,562.116760253906,503.584411621094,28.9502267082245,17136.603515625
"86","San Francisco Ixhuathn",1009040,"MEX",175.734369070812,17.8638907823919,4011.73071289062,1096.49267578125,75.9429473876953,25.5605659484863,26.9765317289343,1327.93786621094
"89","San Juan Guichicovi",1009043,"MEX",738.310588467354,280.449096318578,26258.033203125,14957.283203125,653.786010742188,462.662536621094,26.6764390072859,18114.431640625
"95","San Lorenzo",1009049,"MEX",63.3645236915007,43.6983244773422,3860.85302734375,3140.52221679688,78.8556442260742,64.2145767211914,21.4594175378577,3803.41625976562
"99","San Mateo del Mar",1009053,"MEX",98.825280728152,45.7800637407155,8184.1396484375,7839.025390625,292.08935546875,288.89404296875,34.1787914198787,9493.6689453125
"107","JOMBANG",1013317,"IDN",1090.20978627673,848.139185040478,1318316,1272944.375,47692.21875,46916.5703125,12.2539140448398,1462683.625
"108","KAMPAR",1013318,"IDN",10524.9386547205,224.066417281543,454849.03125,59338.58984375,11632.146484375,1966.25036621094,12.1208789679876,68183.328125
"109","KOTA CILEGON",1013319,"IDN",193.197467001706,176.47441087243,344383.75,344383.75,13400.9228515625,13400.9228515625,12.3731864771132,395716.03125
"110","Mandalay",1011890,"MMR",1135.28389343533,23.6286954161153,1249688.5,180698.078125,46811.49609375,8220.7587890625,4.20820611501638,95067.6875
"132","Dan Chang",27063,"THA",1244.30473346266,177.41051778938,64288.41015625,11494.3232421875,1457.650390625,382.875457763672,17.180955994344,20765.982421875
"145","BANYUWANGI",1013363,"IDN",3539.88507102324,1427.07837849402,1366384,1139639.25,41974.34375,37934.53515625,10.3684874589064,1309508.75
"146","BEKASI",1013370,"IDN",1260.11974936035,1023.80455855396,2306597.75,2234169.75,81248.4609375,79865.4609375,9.54275356197485,2567185
"147","BENGKALIS",1013373,"IDN",11628.0662989668,321.044533543209,463816.40625,139395.625,11406.556640625,4565.50927734375,10.9189774565085,160173.3125
"148","BENGKULU UTARA",1013376,"IDN",9704.62893538364,237.575352165569,411920.03125,41491.78515625,10531.0859375,1398.01159667969,12.529159108217,47676.36328125
"149","BERAU",1013377,"IDN",21150.0324455508,50.8350993557932,109286.7734375,10719.927734375,1823.03234863281,422.557769775391,17.9698283535007,12317.7919921875
"150","SAMPANG",1013602,"IDN",1233.74605273735,1124.01629847399,639203.8125,630173.3125,20840.11328125,20644.2890625,11.5153404207089,724104.125
"151","SIDOARJO",1013610,"IDN",684.958471788723,572.227948435469,2188753.25,2158028,79849.6484375,79548.140625,9.66202626799478,2479693.75
"152","MUNA",1013560,"IDN",4392.55619020726,50.6879024413277,191454.265625,21635.01953125,3986.61450195312,527.558898925781,10.6758444137463,24859.837890625
"156","KOTA GORONTALO",1013473,"IDN",275.098196170737,154.428444147312,138290.140625,117372.109375,4539.626953125,4198.59423828125,10.8914519632682,134867.0625
"160","MALUKU TENGAH",1013544,"IDN",19394.180212007,105.429390641398,373602.53125,35541.91796875,6766.265625,1359.70739746094,13.9191441285358,40839.63671875
"161","PURWAKARTA",1013595,"IDN",894.062577193895,725.861097864137,788763.6875,752992.875,26806.478515625,26125.72265625,8.47847430526572,865230.5625
"162","SRAGEN",1013622,"IDN",946.54039910853,868.509572013289,849242.125,816135.9375,26623.076171875,26046.64453125,7.93257175288325,937785.4375
"163","KEBUMEN",1013442,"IDN",1321.49333481367,1231.82741417912,1170012.375,1150672.625,36807.78125,36462.65625,9.62532660218353,1322186.625
"164","JEPARA",1013434,"IDN",1064.89838027803,803.313825184223,936827.625,877295.375,29634.41796875,28692.205078125,9.32714478995291,1008061
"165","BIMA",1013379,"IDN",4652.2073491545,476.508384317157,454943.34375,168983.84375,11393.21875,5361.21826171875,12.1392290807486,194171.8125
"166","KARIMUN",1013440,"IDN",917.820794441093,103.512133618876,62629.171875,31306.634765625,1868.8212890625,1112.44018554688,12.5842078051164,35973.0625
"167","BINTAN",1013380,"IDN",2097.70637591227,255.33188323687,156061.4375,110737.609375,4633.353515625,3369.71630859375,12.6071444051713,127243.65625
"173","Muang Phangnga",26835,"THA",546.260149740277,80.4176634332585,40471.8828125,10939.7470703125,1036.36694335938,346.563537597656,19.4229385461159,19764.068359375
"184","San Miguel Soyaltepec",1009068,"MEX",671.071253813061,530.069526756043,36633.36328125,33740.13671875,1027.80139160156,963.830993652344,26.5033067295876,40861.92578125
"189","San Miguel Tlacamama",1009073,"MEX",103.878794060394,37.8077704986463,6555.61767578125,5081.29345703125,176.264724731445,151.925811767578,21.4594172116364,6153.84130859375
"192","San Pedro Jicaytn",1009076,"MEX",87.4400486026892,80.4684623718489,8607.14453125,8407.95703125,222.52734375,218.777984619141,21.4594172116364,10182.6884765625
"194","San Sebastiln Ixcapa",1009078,"MEX",94.3333043886693,3.10523795740183,3153.31372070312,144.516235351562,58.9723968505859,3.53185606002808,28.2577029271689,175.020385742188
"198","San Sebastion Tutla",1009082,"MEX",7.0330562813743,3.40428364707064,8306.623046875,5123.65185546875,73.9410552978516,53.8549537658691,8.4284058701029,6205.14013671875
"204","Santa Cruz Xitla",1009088,"MEX",59.8509895559218,5.14893162568406,4816.2490234375,1090.43383789062,33.1578826904297,17.2084636688232,18.4238496486159,1320.60009765625
"205","Santa Cruz Xoxocotlpn",1009089,"MEX",48.0833802544701,40.6024903699061,47375.09375,41499.38671875,431.739532470703,398.303131103516,8.86700533799542,50258.98046875
