"","A2_NAME","A2_GAUL_CODE","A2COUNTRY","Area_mun","Area_covered","Pop_mun","Pop_covered","Burden_mun","Burden_covered","Target_cost","VC_cost_per_year_covered"
"22","Aguascalientes",1008986,"MEX",1178.62635626299,133.099930271077,519499.28125,87675.578125,4008.60424804688,2233.60205078125,20.4206305418653,106181.9375
"35","Huitzilac",1008989,"MEX",191.146087440646,2.67482253514538,111630.9609375,459.757415771484,364.394775390625,14.2392702102661,35.598465497158,556.801940917969
"36","Jantetelco",1008990,"MEX",102.10166549302,28.9817845588082,17836.85546875,8079.8193359375,397.932464599609,236.451065063477,26.5033062519935,9785.2890625
"37","Jiutepec",1008991,"MEX",55.4821092931189,55.4821092931189,111082.8671875,111082.8671875,3276.98974609375,3276.98974609375,27.6921413701401,134529.984375
"38","Jojutla",1008992,"MEX",153.384071698949,132.804266870178,35694.1171875,31792.84375,1215.72106933594,1131.45568847656,34.9982799156254,38503.60546875
"39","Jonacatepec",1008993,"MEX",90.25221312874,50.8509170427467,14537.421875,8936.2734375,432.042907714844,296.589874267578,33.3362183974381,10822.521484375
"40","Mazatepec",1008994,"MEX",57.8009933311471,38.6955589850376,7438.01611328125,4772.56494140625,242.137466430664,174.531723022461,39.430440708282,5779.94677734375
"41","Miacatl",1008995,"MEX",214.453845922726,83.8262621451959,43682.5546875,15475.5146484375,851.64404296875,533.22607421875,32.5167319172604,18742.05078125
"42","Ocuituco",1008996,"MEX",86.8939993769412,0.861910518288747,20705.53125,665.667419433594,78.4169692993164,12.8523397445679,22.4289517423634,806.174926757812
"43","Puente de Ixtla",1008997,"MEX",297.375866811027,137.036507516626,39286.0859375,20666.419921875,1182.01452636719,788.671203613281,39.430440708282,25028.640625
"44","Temixco",1008998,"MEX",102.867837915771,84.3612968689625,122550.390625,106237.2578125,3397.0458984375,3236.69580078125,26.745689774814,128661.5703125
"45","Tepalcingo",1008999,"MEX",367.603242502827,54.1983568290927,39784.3125,9838.6455078125,942.529052734375,338.732696533203,29.5965849840103,11915.3642578125
"46","Tepoztl",1009000,"MEX",252.817402814326,115.724641864071,137565.65625,89743.9765625,2718.47924804688,2378.37890625,23.6870390700756,108686.921875
"47","Tetecala",1009001,"MEX",67.921385178192,28.6629301657083,8011.16455078125,3581.96337890625,227.123550415039,117.43936920166,34.4096315689661,4338.03564453125
"49","Gral.  Zuazua",1009003,"MEX",184.837572119708,113.398788684675,83168.4765625,79852.484375,2936.06005859375,2871.35986328125,32.6206096380642,96707.5625
"50","Guadalupe",1009004,"MEX",117.769146419523,117.769146419523,513015.4375,513015.4375,18041.71875,18041.71875,31.5933642359492,621301.5625
"53","Hualahuises",1009007,"MEX",127.772141265753,41.1853628742119,16106.9853515625,9163.4697265625,507.178344726562,366.775421142578,41.9927837468081,11097.673828125
"55","Ju1rez",1009009,"MEX",246.949776738602,203.837107765339,179904.53125,174627.390625,6608.544921875,6469.34619140625,31.5933642359492,211487.328125
"57","Linares",1009011,"MEX",2539.19202053225,143.855682672612,69479.1484375,34947.16796875,1719.16235351562,1361.11352539062,39.6497392192713,42323.734375
"58","Mar",1009012,"MEX",264.175714235118,29.3530901923979,14392.44921875,6044.29443359375,437.159881591797,219.778549194336,39.4188963646097,7320.1103515625
"62","Montemorelos",1009016,"MEX",1868.94782268721,109.001035629938,66743.9453125,29284.33984375,1505.80212402344,1050.337890625,37.9992207526564,35465.609375
"63","Monterrey",1009017,"MEX",323.541957664698,298.382505831107,794384.3125,764095.4375,23122.166015625,22906.255859375,20.1436203080258,925378.9375
"65","Pesquerea",1009019,"MEX",308.833682194081,84.694188999036,63873.796875,58616.30078125,2270.58837890625,2162.73486328125,37.0296850076305,70988.890625
"68","Sabinas Hidalgo",1009022,"MEX",1541.85648412602,45.6118214708429,35687.12109375,9871.1181640625,586.402587890625,257.986511230469,29.8158853595082,11954.69140625
"69","Salinas Victoria",1009023,"MEX",1657.76702553328,120.856306815519,75052.296875,67650.4296875,2382.6123046875,2338.40942382812,26.2955492261226,81929.9296875
"70","San Nicolns de los Garza",1009024,"MEX",60.0877848097508,60.0877848097508,236350.359375,236350.359375,9495.642578125,9495.642578125,30.0005577328329,286238.65625
"72","Santiago",1009026,"MEX",746.34198394678,113.750164829756,36196.14453125,19367.48046875,982.27978515625,678.050170898438,35.4715040405286,23455.5234375
"85","San Blas Atempa",1009039,"MEX",212.186032704304,50.5671289405129,17629.6640625,9849.0283203125,562.116760253906,391.398834228516,38.8071648914559,11927.9384765625
"89","San Juan Guichicovi",1009043,"MEX",738.310588467354,13.3581699635022,26258.033203125,2972.4453125,653.786010742188,119.005195617676,35.8293082957587,3599.86206054688
"99","San Mateo del Mar",1009053,"MEX",98.825280728152,45.7800637407155,8184.1396484375,7839.025390625,292.08935546875,288.89404296875,34.1787914198787,9493.6689453125
"107","JOMBANG",1013317,"IDN",1090.20978627673,652.96821101966,1318316,1166494,47692.21875,43809.953125,13.9925430444154,1340366.375
"109","KOTA CILEGON",1013319,"IDN",193.197467001706,156.62559934676,344383.75,334065.25,13400.9228515625,13126.2802734375,16.529381834741,383859.5
"145","BANYUWANGI",1013363,"IDN",3539.88507102324,446.679992965548,1366384,637695.8125,41974.34375,23212.9609375,14.1760400455214,732747.875
"146","BEKASI",1013370,"IDN",1260.11974936035,689.12343170442,2306597.75,1970978.625,81248.4609375,72819.640625,12.0566548547091,2264763.75
"147","BENGKALIS",1013373,"IDN",11628.0662989668,25.4255747274892,463816.40625,13245.103515625,11406.556640625,563.277160644531,19.6717591079044,15219.3583984375
"150","SAMPANG",1013602,"IDN",1233.74605273735,83.151579041425,639203.8125,83646.7109375,20840.11328125,3135.35498046875,14.6760674039856,96114.7109375
"151","SIDOARJO",1013610,"IDN",684.958471788723,557.760068004872,2188753.25,2149049.25,79849.6484375,79262.7421875,9.66202626799478,2469376.75
"156","KOTA GORONTALO",1013473,"IDN",275.098196170737,76.9047753588353,138290.140625,76784.8515625,4539.626953125,2908.95166015625,15.699059089706,88230.0546875
"160","MALUKU TENGAH",1013544,"IDN",19394.180212007,27.785468219511,373602.53125,11648.7001953125,6766.265625,525.808166503906,20.8507221143025,13385.0029296875
"161","PURWAKARTA",1013595,"IDN",894.062577193895,259.63262260584,788763.6875,520414.25,26806.478515625,19243.25,14.6760681373752,597984.875
"162","SRAGEN",1013622,"IDN",946.54039910853,243.835665047875,849242.125,359726.65625,26623.076171875,13111.970703125,15.9467797289695,413345.875
"163","KEBUMEN",1013442,"IDN",1321.49333481367,327.74697966367,1170012.375,577607.625,36807.78125,21170.896484375,14.4237593191448,663703.1875
